variant,sample,r,ic1,ic2,ic3
drop_eua__credito__imoveis,pre_covid,2,-0.10716957699579058,-0.08462786706145964,-0.16147726893618308
drop_eua__credito__imoveis,pre_covid,3,-0.10865567783377872,-0.07484311293228224,-0.1901172157443674
drop_eua__credito__imoveis,pre_covid,4,-0.10108011779980292,-0.05599669793114104,-0.2096955016805879
drop_eua__credito__imoveis,pre_covid,5,-0.09113879457748114,-0.03478451974165375,-0.22690802442846236
drop_eua__credito__imoveis,pre_covid,6,-0.08523774228641923,-0.01761261248342627,-0.2481608181075966
drop_eua__credito__imoveis,pre_covid,7,-0.06724656347618019,0.011649421293978168,-0.2573234852675539
drop_eua__credito__imoveis,pre_covid,8,-0.04592268027317292,0.044244159464150834,-0.2631534480347429
drop_eua__credito__imoveis,pre_covid,9,-0.022534360738103887,0.07890333396638549,-0.26691897446987
drop_eua__credito__imoveis,pre_covid,10,-6.831795824580045e-5,0.11264023171340898,-0.27160677766020824
drop_eua__credito__imoveis,pre_covid,11,0.023833389278912098,0.14781279391773228,-0.27485891639324656
drop_eua__credito__imoveis,pre_covid,12,0.04866911666395135,0.18391937626993726,-0.2771770349784034
drop_eua__credito__imoveis,pre_covid,13,0.07104462738150763,0.21756574195465894,-0.28195537023104345
drop_eua__credito__imoveis,pre_covid,14,0.09580409782328525,0.25359606736360196,-0.28434974575946215
drop_eua__credito__imoveis,pre_covid,15,0.11821887573103251,0.2872817002385146,-0.2890888138219112
drop_eua__credito__imoveis,pre_covid,16,0.14451833539810077,0.3248520148727483,-0.28994320012503916
drop_eua__credito__imoveis,pre_covid,17,0.17079614212690108,0.36240067656871444,-0.29081923936643483
drop_eua__credito__imoveis,pre_covid,18,0.19524764539790507,0.3981230348068838,-0.2935215820656272
drop_eua__credito__imoveis,pre_covid,19,0.21878103523963977,0.4329272796157839,-0.297142038194089
drop_eua__credito__imoveis,pre_covid,20,0.24289908286803308,0.46831618221134264,-0.3001778365358918
drop_eua__imoveis,full,1,-0.09893534009707099,-0.09030097769236752,-0.12163106936866855
drop_eua__imoveis,full,2,-0.15804475996669978,-0.14077603515729284,-0.2034362185098949
drop_eua__imoveis,full,3,-0.19576848409587547,-0.16986539688176508,-0.26385567191066817
drop_eua__imoveis,full,4,-0.20660010634584852,-0.17206265672703464,-0.29738302343223877
drop_eua__imoveis,full,5,-0.21212091831233104,-0.16894910628881377,-0.3255995646703189
drop_eua__imoveis,full,6,-0.20698053184485038,-0.1551743574166296,-0.3431549074744358
drop_eua__imoveis,full,7,-0.19946481580645714,-0.13902427897353287,-0.3583349207076401
drop_eua__imoveis,full,8,-0.1913407724113283,-0.12226587317370052,-0.37290660658410885
drop_eua__imoveis,full,9,-0.1807638939289562,-0.10305463228662504,-0.38502545737333427
drop_eua__imoveis,full,10,-0.16374040401113765,-0.0773967799641031,-0.39069769672711335
drop_eua__imoveis,full,11,-0.14790262570405288,-0.05292463925231483,-0.3975556476916262
drop_eua__imoveis,full,12,-0.12837638221354775,-0.024764033357106197,-0.4007251334727185
drop_eua__imoveis,full,13,-0.10992006497633688,0.002326646284808165,-0.40496454550710526
drop_eua__imoveis,full,14,-0.09293085596198691,0.027950217703861635,-0.41067106576435286
drop_eua__imoveis,full,15,-0.0735493676940101,0.05596606837654172,-0.41398530676797374
drop_eua__imoveis,full,16,-0.05255988588741145,0.0855899125878441,-0.41569155423297255
drop_eua__imoveis,full,17,-0.0320177118336864,0.11476644904627253,-0.41784510945084496
drop_eua__imoveis,full,18,-0.01117341846018971,0.14424510482447261,-0.41969654534894585
drop_eua__imoveis,full,19,0.009076944311666058,0.17312983000103177,-0.4221419118486879
drop_eua__imoveis,full,20,0.029230190548599877,0.20191743864266898,-0.4246843948833515
drop_eua__imoveis,pre_covid,1,-0.06686907529437627,-0.05582709338210605,-0.09359496182481203
drop_eua__imoveis,pre_covid,2,-0.1054692624226532,-0.08338529859811275,-0.1589210354835247
drop_eua__imoveis,pre_covid,3,-0.10762402892027328,-0.07449808318346263,-0.18780168851158052
drop_eua__imoveis,pre_covid,4,-0.09980846587449432,-0.05564053822541343,-0.20671201199623732
drop_eua__imoveis,pre_covid,5,-0.09073976225941072,-0.03552985269805953,-0.22436919491158946
drop_eua__imoveis,pre_covid,6,-0.08512808997839594,-0.01887619850477462,-0.2454834091610104
drop_eua__imoveis,pre_covid,7,-0.06632001065949411,0.010973862726397443,-0.2534012163725443
drop_eua__imoveis,pre_covid,8,-0.04665284216033949,0.0416830131378223,-0.2604599344038255
drop_eua__imoveis,pre_covid,9,-0.023944312533668688,0.07543352467676334,-0.26447729130759046
drop_eua__imoveis,pre_covid,10,-0.0010661788308558018,0.10935364029184658,-0.2683250441352133
