sample,variable,adf_statistic,adf_p_value,adf_reject_5pct,pp_statistic,pp_p_value,pp_reject_5pct
full,capacidade_instalada_industria,-3.9466417445684594,0.01373572678236499,TRUE,-222.17595101007961,0.01,TRUE
full,vendas_varejo,-7.69660516586644,0.01,TRUE,-149.97169154562422,0.01,TRUE
full,vendas_servicos,-5.55556523279587,0.01,TRUE,-157.71284314487514,0.01,TRUE
full,ind_automoveis,-6.294158400191584,0.01,TRUE,-142.57741090517865,0.01,TRUE
full,ind_leves,-5.552356721215928,0.01,TRUE,-203.3607952422887,0.01,TRUE
full,ind_caminhoes,-4.946933758857448,0.01,TRUE,-156.08472012588413,0.01,TRUE
full,ind_onibus,-6.362740547957629,0.01,TRUE,-186.80880282627012,0.01,TRUE
full,ind_bens_consumo,-6.7403633985138285,0.01,TRUE,-152.6947808520512,0.01,TRUE
full,ind_bens_duraveis,-6.489702710962374,0.01,TRUE,-145.69195396659802,0.01,TRUE
full,ind_bens_nao_duraveis,-6.847653117721318,0.01,TRUE,-167.7587456299328,0.01,TRUE
full,ind_bens_capital,-4.801463700387197,0.01,TRUE,-181.51835826696325,0.01,TRUE
full,ind_transformacao,-6.541028719564126,0.01,TRUE,-147.36742865038383,0.01,TRUE
full,ind_min_extr,-6.345575672404775,0.01,TRUE,-155.25875739712063,0.01,TRUE
full,ind_uti_cap_instalada,-6.76118412357456,0.01,TRUE,-116.67132407600704,0.01,TRUE
full,energia_comercial,-6.541487707053589,0.01,TRUE,-138.0086481081823,0.01,TRUE
full,energia_residencial,-6.138774147130871,0.01,TRUE,-180.23198390224954,0.01,TRUE
full,energia_industrial,-6.231122297251727,0.01,TRUE,-151.51124989521722,0.01,TRUE
full,energia_outros,-7.700604254433997,0.01,TRUE,-145.3760678495558,0.01,TRUE
full,pib,-4.955241215129997,0.01,TRUE,-124.10076614531758,0.01,TRUE
full,ibc_br,-6.716407726848513,0.01,TRUE,-108.15992019279558,0.01,TRUE
full,icc,-4.7518928378271,0.01,TRUE,-162.83718235918624,0.01,TRUE
full,ics,-5.927765296450828,0.01,TRUE,-95.0191703016136,0.01,TRUE
full,trab_employment_southest,-6.9147910782449085,0.01,TRUE,-134.60264186477403,0.01,TRUE
full,trab_employment_south,-7.005823564177559,0.01,TRUE,-139.1127823642621,0.01,TRUE
full,trab_employment_northeast,-6.848810835999325,0.01,TRUE,-156.85225924141182,0.01,TRUE
full,trab_employment_north,-7.315380680673362,0.01,TRUE,-144.35293833350315,0.01,TRUE
full,trab_employment_central_west,-6.480919311964261,0.01,TRUE,-157.01809156968886,0.01,TRUE
full,trab_min_wage,-6.885578412519717,0.01,TRUE,-145.2655914055908,0.01,TRUE
full,trab_pop_forca_trab,-4.669354969291077,0.01,TRUE,-41.000737830938064,0.01,TRUE
full,trab_pop_ocupada,-3.8291914313028217,0.019481828214147665,TRUE,-36.18982350976509,0.01,TRUE
full,trab_tx_desemprego,-3.3336156247473694,0.0682640625421051,FALSE,-31.125194209742247,0.01,TRUE
full,trab_hrs_trabalhadas_industria,-5.687525233626647,0.01,TRUE,-139.5071931811599,0.01,TRUE
full,trab_menos_de_1_mes,-5.3365247229694,0.01,TRUE,-147.5482097016796,0.01,TRUE
full,trab_de_1_mes_a_menos_de_1_ano,-3.7491413476609914,0.023398172815019998,TRUE,-161.94697003396874,0.01,TRUE
full,trab_de_1_ano_a_menos_de_2_anos,-3.8607111907847433,0.017939765617184765,TRUE,-180.55893112626538,0.01,TRUE
full,trab_x2_anos_ou_mais,-3.4733721574641123,0.04723900462444068,TRUE,-174.0552714353327,0.01,TRUE
full,price_ipca,-8.103006532142935,0.01,TRUE,-174.4223823764176,0.01,TRUE
full,price_ipca_difusao,-5.710157496256694,0.01,TRUE,-172.67885393526177,0.01,TRUE
full,price_core_ipca_ex0,-6.680221920612923,0.01,TRUE,-206.67351254057326,0.01,TRUE
full,price_core_ipca_ex1,-7.428125990479191,0.01,TRUE,-196.3994316355511,0.01,TRUE
full,price_core_ipca_dw,-6.7874748516299315,0.01,TRUE,-171.79493049345535,0.01,TRUE
full,price_igp_m,-7.15121861664546,0.01,TRUE,-167.39670803150443,0.01,TRUE
full,price_ipc,-8.457477671141373,0.01,TRUE,-193.9663213168418,0.01,TRUE
full,price_core_ipc,-7.0607610167184305,0.01,TRUE,-171.03864960276857,0.01,TRUE
full,price_incc,-7.423094282662461,0.01,TRUE,-176.51087258761248,0.01,TRUE
full,price_inpc,-8.033260011507771,0.01,TRUE,-186.25957807699788,0.01,TRUE
full,price_ipp,-7.925247646687145,0.01,TRUE,-118.6807573321913,0.01,TRUE
full,commodity_agro,-4.103369510837865,0.01,TRUE,-113.32138529845732,0.01,TRUE
full,commodity_metal,-4.536368545277985,0.01,TRUE,-114.48037856413036,0.01,TRUE
full,commodity_energia,-4.429562408422237,0.01,TRUE,-105.23583457592507,0.01,TRUE
full,asset_ibov,-9.647127430595024,0.01,TRUE,-162.12476094603306,0.01,TRUE
full,asset_idiv,-8.536205660473001,0.01,TRUE,-164.69734166738294,0.01,TRUE
full,asset_ifix,-9.032655449187846,0.01,TRUE,-173.29321215142392,0.01,TRUE
full,asset_ifnc,-9.655559278395582,0.01,TRUE,-170.54087136893838,0.01,TRUE
full,asset_imat,-9.332356409012917,0.01,TRUE,-175.65395905496322,0.01,TRUE
full,asset_imob,-9.598353853859054,0.01,TRUE,-155.61117648663918,0.01,TRUE
full,asset_mlcx,-9.582809337227966,0.01,TRUE,-162.04098141661325,0.01,TRUE
full,asset_smll,-10.109689230307723,0.01,TRUE,-161.73429140496592,0.01,TRUE
full,embi_perc,-5.304479385241643,0.01,TRUE,-144.99892034427327,0.01,TRUE
full,cds_5y,-4.667757049240124,0.01,TRUE,-138.92044291102562,0.01,TRUE
full,msci,-5.237945532204885,0.01,TRUE,-194.63109360821554,0.01,TRUE
full,sp500_vix,-7.741341770755006,0.01,TRUE,-162.16649177002284,0.01,TRUE
full,epu_brazil,-6.461708709172396,0.01,TRUE,-143.9751720594075,0.01,TRUE
full,epu_canada,-5.741768274190323,0.01,TRUE,-177.44593243456671,0.01,TRUE
full,epu_chile,-5.914707069982898,0.01,TRUE,-130.9096725092463,0.01,TRUE
full,epu_china,-6.213761768777089,0.01,TRUE,-167.45859065200852,0.01,TRUE
full,epu_germany,-5.188304268402773,0.01,TRUE,-157.3011866612554,0.01,TRUE
full,epu_india,-7.146813890048783,0.01,TRUE,-180.07026774825604,0.01,TRUE
full,epu_russia,-7.165825774465776,0.01,TRUE,-202.82564648224667,0.01,TRUE
full,epu_us,-6.516123253532503,0.01,TRUE,-162.53543084359507,0.01,TRUE
pre_covid,cambio_eur,-3.1834608648031146,0.09631170820261807,FALSE,-65.76771464877294,0.01,TRUE
pre_covid,cambio_cny,-3.0297574038275368,0.1537169896177345,FALSE,-59.26660487817098,0.01,TRUE
pre_covid,cambio_ars,-3.537421275572682,0.04395706166672335,TRUE,-39.69399966637972,0.01,TRUE
pre_covid,cambio_inr,-3.424092134924334,0.057146462414659205,FALSE,-57.012386354808775,0.01,TRUE
pre_covid,cambio_usd,-3.075355007170401,0.1350256170648081,FALSE,-57.38069144417248,0.01,TRUE
