variant,sample,q,aw_ic2
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,2,-0.3535280535746069
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,1,-0.5175205243542349
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,2,-0.5742203320018162
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,3,-0.57376795635721
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,4,-0.56696434802554
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,5,-0.5538344554981196
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,1,-0.33400753941709066
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,2,-0.35168403633365564
drop_fiscal__setor_externo__expectativas__imoveis,full,1,-0.42515178100266077
drop_fiscal__setor_externo__expectativas__imoveis,full,2,-0.4883294731016299
drop_fiscal__setor_externo__expectativas__imoveis,full,3,-0.4898351950172303
drop_fiscal__setor_externo__expectativas__imoveis,full,4,-0.4865764604742043
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,1,-0.32604456696355055
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,2,-0.33918948711993946
drop_fiscal__setor_externo__imoveis,full,1,-0.4197958813486194
drop_fiscal__setor_externo__imoveis,full,2,-0.4802577965885192
drop_fiscal__setor_externo__imoveis,full,3,-0.47894600659094716
drop_fiscal__setor_externo__imoveis,full,4,-0.4768974088647186
drop_fiscal__setor_externo__imoveis,pre_covid,1,-0.3237534426789058
drop_fiscal__setor_externo__imoveis,pre_covid,2,-0.3346464045308425
drop_imoveis,full,1,-0.41829322276593045
drop_imoveis,full,2,-0.4760538979992487
drop_imoveis,full,3,-0.47348893271981124
drop_imoveis,full,4,-0.4692518618551847
drop_imoveis,pre_covid,1,-0.32621794645510493
drop_imoveis,pre_covid,2,-0.33502390952091265
drop_setor_externo,full,1,-0.4220719419979282
drop_setor_externo,full,2,-0.48352383227587253
drop_setor_externo,full,3,-0.4831096648023864
drop_setor_externo,full,4,-0.4800945676143613
drop_setor_externo,pre_covid,1,-0.33139269506717106
drop_setor_externo,pre_covid,2,-0.3411539095020044
drop_setor_externo__credito,full,1,-0.4229945891348548
drop_setor_externo__credito,full,2,-0.48249382753482495
drop_setor_externo__credito,full,3,-0.4830916482566273
drop_setor_externo__credito,full,4,-0.48102908264815714
drop_setor_externo__credito,pre_covid,1,-0.33031590262306165
drop_setor_externo__credito,pre_covid,2,-0.33999551219136537
drop_setor_externo__credito__imoveis,full,1,-0.42309426346176715
drop_setor_externo__credito__imoveis,full,2,-0.4827414355361997
drop_setor_externo__credito__imoveis,full,3,-0.4832804724647798
drop_setor_externo__credito__imoveis,full,4,-0.48164368049313855
drop_setor_externo__credito__imoveis,pre_covid,1,-0.3274792279903668
drop_setor_externo__credito__imoveis,pre_covid,2,-0.33766230425270577
drop_setor_externo__eua,full,1,-0.4234986227980392
drop_setor_externo__eua,full,2,-0.49374935628531624
drop_setor_externo__eua,full,3,-0.49590044038017667
drop_setor_externo__eua,full,4,-0.4919325652438919
drop_setor_externo__eua,pre_covid,1,-0.33950988994482767
drop_setor_externo__eua,pre_covid,2,-0.353383837141193
drop_setor_externo__eua__credito,full,1,-0.42318015348875776
drop_setor_externo__eua__credito,full,2,-0.49285919860226546
drop_setor_externo__eua__credito,full,3,-0.49608731768901926
drop_setor_externo__eua__credito,full,4,-0.4930336482020896
drop_setor_externo__eua__credito,pre_covid,1,-0.3386048688223054
