variant,sample,component,eigenvalue
drop_setor_externo__eua__imoveis,full,4,3.783319469621298
drop_setor_externo__eua__imoveis,pre_covid,1,11.817182198013414
drop_setor_externo__eua__imoveis,pre_covid,2,7.7054044391511285
drop_setor_externo__expectativas,full,1,10.438932088722913
drop_setor_externo__expectativas,full,2,9.13607117843253
drop_setor_externo__expectativas,full,3,4.469583680280899
drop_setor_externo__expectativas,full,4,3.8318242920093115
drop_setor_externo__expectativas,pre_covid,1,12.06409676181589
drop_setor_externo__expectativas,pre_covid,2,7.64401159679283
drop_setor_externo__expectativas__credito,full,1,10.325805093068883
drop_setor_externo__expectativas__credito,full,2,8.895997317475807
drop_setor_externo__expectativas__credito,full,3,4.480725726075749
drop_setor_externo__expectativas__credito,full,4,3.82277186757462
drop_setor_externo__expectativas__credito,pre_covid,1,12.064876176271023
drop_setor_externo__expectativas__credito,pre_covid,2,7.564718421318771
drop_setor_externo__expectativas__credito__imoveis,full,1,10.34540832126621
drop_setor_externo__expectativas__credito__imoveis,full,2,8.838248840199226
drop_setor_externo__expectativas__credito__imoveis,full,3,4.439563532884182
drop_setor_externo__expectativas__credito__imoveis,full,4,3.819228055368405
drop_setor_externo__expectativas__credito__imoveis,pre_covid,1,12.070568022696294
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,7.577792863649905
drop_setor_externo__expectativas__eua,full,1,10.161676757337537
drop_setor_externo__expectativas__eua,full,2,9.221631439754551
drop_setor_externo__expectativas__eua,full,3,4.403351701380189
drop_setor_externo__expectativas__eua,full,4,3.6389846738756315
drop_setor_externo__expectativas__eua,pre_covid,1,11.547822053423538
drop_setor_externo__expectativas__eua,pre_covid,2,7.628991488026646
drop_setor_externo__expectativas__eua__credito,full,1,9.185751417176004
drop_setor_externo__expectativas__eua__credito,full,2,7.558276343855692
drop_setor_externo__expectativas__eua__credito,full,3,3.789983203331688
drop_setor_externo__expectativas__eua__credito,full,4,3.274280452084089
drop_setor_externo__expectativas__eua__credito,full,5,2.782222391281342
drop_setor_externo__expectativas__eua__credito,pre_covid,1,11.551265200880572
drop_setor_externo__expectativas__eua__credito,pre_covid,2,7.545709102765348
