variant,sample,r,ic1,ic2,ic3
drop_eua,full,14,-0.09336433719784354,0.02771988649835022,-0.4116852762813821
drop_eua,full,15,-0.07436032471855958,0.05537277209879088,-0.41541847373663643
drop_eua,full,16,-0.05326698198948909,0.08511498794901828,-0.41706234094210437
drop_eua,full,17,-0.032579032370110506,0.11445181068955357,-0.41911160125726443
drop_eua,full,18,-0.012408937061586078,0.14327077911923447,-0.42167871588327854
drop_eua,full,19,0.008041640534176775,0.17237022983615402,-0.4239653482220541
drop_eua,full,20,0.028484916705644903,0.20146237912877907,-0.4262592819851243
drop_eua,pre_covid,1,-0.06646287526064407,-0.055532032193227734,-0.09297983395421586
drop_eua,pre_covid,2,-0.10420921525144539,-0.08234752911661272,-0.15724313263858897
drop_eua,pre_covid,3,-0.10631024690252733,-0.07351771770027832,-0.18586112298324264
drop_eua,pre_covid,4,-0.09886125105575244,-0.05513787878608711,-0.20492908583003958
drop_eua,pre_covid,5,-0.09238714189640201,-0.03773292655932031,-0.2249719353642609
drop_eua,pre_covid,6,-0.08663111545060442,-0.021046057046106403,-0.24573286761203506
drop_eua,pre_covid,7,-0.06758479702198739,0.008931104449926952,-0.25320350787698986
drop_eua,pre_covid,8,-0.05061464489836809,0.03683209964096257,-0.26275031444694236
drop_eua,pre_covid,9,-0.028263016830323395,0.07011457077642369,-0.26691564507246934
