sample,r,q,variable,h,point
full,5,4,yield_6m,7,0.00955657646573611
full,5,4,yield_6m,8,0.009795839330610302
full,5,4,yield_6m,9,0.010302135624119585
full,5,4,yield_6m,10,0.010902927587093048
full,5,4,yield_6m,11,0.011735541745393312
full,5,4,yield_6m,12,0.012501159603734924
full,5,4,yield_6m,13,0.01298204349508025
full,5,4,yield_6m,14,0.01333784906668106
full,5,4,yield_6m,15,0.013696553792754895
full,5,4,yield_6m,16,0.013942868448781296
full,5,4,yield_6m,17,0.014082245471023776
full,5,4,yield_6m,18,0.014161417752916126
full,5,4,yield_6m,19,0.014076372223519658
full,5,4,yield_6m,20,0.013863806939235213
full,5,4,yield_6m,21,0.013601663197924304
full,5,4,yield_6m,22,0.013246332745834732
full,5,4,yield_6m,23,0.012788485446212123
full,5,4,yield_6m,24,0.012252866845874464
full,5,4,yield_6m,25,0.011634768906773967
full,5,4,yield_6m,26,0.010949678861146745
full,5,4,yield_6m,27,0.010214723348679636
full,5,4,yield_6m,28,0.00942694033096902
full,5,4,yield_6m,29,0.008593624205406441
full,5,4,yield_6m,30,0.007724738143106823
full,5,4,yield_6m,31,0.0068255300776546
full,5,4,yield_6m,32,0.005907625157945468
full,5,4,yield_6m,33,0.004981438510679032
full,5,4,yield_6m,34,0.0040511051605851825
full,5,4,yield_6m,35,0.0031237407977793307
full,5,4,yield_6m,36,0.002208648331564605
full,5,4,yield_6m,37,0.001312050126653136
full,5,4,yield_6m,38,4.402678945435375e-4
full,5,4,yield_6m,39,-3.9994432037807477e-4
full,5,4,yield_6m,40,-0.0012038318642178152
full,5,4,yield_6m,41,-0.001966850537403198
full,5,4,yield_6m,42,-0.002684238668524441
full,5,4,yield_6m,43,-0.003352357029609046
full,5,4,yield_6m,44,-0.003968189993565245
full,5,4,yield_6m,45,-0.004529230835579839
full,5,4,yield_6m,46,-0.0050338003167333
full,5,4,yield_6m,47,-0.005480605165305521
full,5,4,yield_6m,48,-0.0058688051402736455
pre_covid,5,4,asset_ibov,0,-14.207541993504103
pre_covid,5,4,asset_ibov,1,-24.026688259474987
