variant,sample,q,aw_ic2
drop_setor_externo__eua__imoveis,full,1,-0.42397419585019686
drop_setor_externo__eua__imoveis,full,2,-0.4944311618648558
drop_setor_externo__eua__imoveis,full,3,-0.4965952247542649
drop_setor_externo__eua__imoveis,full,4,-0.49308289092138197
drop_setor_externo__eua__imoveis,pre_covid,1,-0.3364150379317874
drop_setor_externo__eua__imoveis,pre_covid,2,-0.35092385113488433
drop_setor_externo__expectativas,full,1,-0.42602066980563535
drop_setor_externo__expectativas,full,2,-0.4915867053782501
drop_setor_externo__expectativas,full,3,-0.4937777830223556
drop_setor_externo__expectativas,full,4,-0.49006505023672126
drop_setor_externo__expectativas,pre_covid,1,-0.3337029128233144
drop_setor_externo__expectativas,pre_covid,2,-0.34559085811528045
drop_setor_externo__expectativas__credito,full,1,-0.4268774854391629
drop_setor_externo__expectativas__credito,full,2,-0.49083179225973284
drop_setor_externo__expectativas__credito,full,3,-0.49417860512798706
drop_setor_externo__expectativas__credito,full,4,-0.4912517385965532
drop_setor_externo__expectativas__credito,pre_covid,1,-0.3325162021579355
drop_setor_externo__expectativas__credito,pre_covid,2,-0.34447674681311324
drop_setor_externo__expectativas__credito__imoveis,full,1,-0.4261933222064243
drop_setor_externo__expectativas__credito__imoveis,full,2,-0.4901999483127839
drop_setor_externo__expectativas__credito__imoveis,full,3,-0.49327274053362113
drop_setor_externo__expectativas__credito__imoveis,full,4,-0.4906880402328785
drop_setor_externo__expectativas__credito__imoveis,pre_covid,1,-0.32953773427989264
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,-0.3420586945759728
drop_setor_externo__expectativas__eua,full,1,-0.4293851501401905
drop_setor_externo__expectativas__eua,full,2,-0.5028003950248449
drop_setor_externo__expectativas__eua,full,3,-0.5073035069716081
drop_setor_externo__expectativas__eua,full,4,-0.5031417747910336
drop_setor_externo__expectativas__eua,pre_covid,1,-0.3419788592813055
drop_setor_externo__expectativas__eua,pre_covid,2,-0.3581973841235553
drop_setor_externo__expectativas__eua__credito,full,1,-0.5172734259253065
drop_setor_externo__expectativas__eua__credito,full,2,-0.5762103028163454
drop_setor_externo__expectativas__eua__credito,full,3,-0.5756280082007107
drop_setor_externo__expectativas__eua__credito,full,4,-0.5697031518400103
drop_setor_externo__expectativas__eua__credito,full,5,-0.5573844398758181
drop_setor_externo__expectativas__eua__credito,pre_covid,1,-0.3409683596325642
drop_setor_externo__expectativas__eua__credito,pre_covid,2,-0.3573005617639605
drop_setor_externo__expectativas__eua__credito__imoveis,full,1,-0.5185682467600068
drop_setor_externo__expectativas__eua__credito__imoveis,full,2,-0.576207419785878
drop_setor_externo__expectativas__eua__credito__imoveis,full,3,-0.5761761931130471
drop_setor_externo__expectativas__eua__credito__imoveis,full,4,-0.5704895488254604
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,-0.5583541465117294
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,1,-0.3379178656793041
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,-0.35487381180429456
drop_setor_externo__expectativas__eua__imoveis,full,1,-0.5174942819925216
drop_setor_externo__expectativas__eua__imoveis,full,2,-0.5771612932728711
drop_setor_externo__expectativas__eua__imoveis,full,3,-0.5757967270767209
drop_setor_externo__expectativas__eua__imoveis,full,4,-0.5684429336323724
drop_setor_externo__expectativas__eua__imoveis,full,5,-0.5556112651262828
drop_setor_externo__expectativas__eua__imoveis,pre_covid,1,-0.3387034184985069
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,-0.35562056173752765
drop_setor_externo__expectativas__imoveis,full,1,-0.4258018983520916
drop_setor_externo__expectativas__imoveis,full,2,-0.4911809462422918
drop_setor_externo__expectativas__imoveis,full,3,-0.4931987635802485
drop_setor_externo__expectativas__imoveis,full,4,-0.489849757782106
drop_setor_externo__expectativas__imoveis,pre_covid,1,-0.33052476574294254
drop_setor_externo__expectativas__imoveis,pre_covid,2,-0.3430455417936728
drop_setor_externo__imoveis,full,1,-0.42238791239589313
drop_setor_externo__imoveis,full,2,-0.4839094312732431
drop_setor_externo__imoveis,full,3,-0.48349743926651756
drop_setor_externo__imoveis,full,4,-0.4809192511795878
drop_setor_externo__imoveis,pre_covid,1,-0.3283852536927648
drop_setor_externo__imoveis,pre_covid,2,-0.33872287272361445
