variant,sample,component,eigenvalue
drop_expectativas__eua__credito,pre_covid,4,5.430049599698116
drop_expectativas__eua__credito,pre_covid,5,5.295042382558572
drop_expectativas__eua__credito,pre_covid,6,4.927377852718801
drop_expectativas__eua__credito,pre_covid,7,3.885325722634687
drop_expectativas__eua__credito,pre_covid,8,3.7608013904339015
drop_expectativas__eua__credito,pre_covid,9,3.1206916343707767
drop_expectativas__eua__credito,pre_covid,10,2.9828906645701054
drop_expectativas__eua__credito,pre_covid,11,2.719775492333376
drop_expectativas__eua__credito,pre_covid,12,2.6171762307575888
drop_expectativas__eua__credito,pre_covid,13,2.4607325946608896
drop_expectativas__eua__credito,pre_covid,14,2.344671944275963
drop_expectativas__eua__credito,pre_covid,15,2.2270113856710965
drop_expectativas__eua__credito,pre_covid,16,2.0558391706321157
drop_expectativas__eua__credito,pre_covid,17,1.9311660090248755
drop_expectativas__eua__credito,pre_covid,18,1.875156452758867
drop_expectativas__eua__credito,pre_covid,19,1.729657075782533
drop_expectativas__eua__credito,pre_covid,20,1.7126577581878673
drop_expectativas__eua__credito__imoveis,full,1,16.62521627236976
drop_expectativas__eua__credito__imoveis,full,2,11.075402207013074
drop_expectativas__eua__credito__imoveis,full,3,7.851470549349367
drop_expectativas__eua__credito__imoveis,full,4,5.317516612577265
drop_expectativas__eua__credito__imoveis,full,5,4.848475930899212
drop_expectativas__eua__credito__imoveis,full,6,3.8153324748108055
drop_expectativas__eua__credito__imoveis,full,7,3.346402776280654
drop_expectativas__eua__credito__imoveis,full,8,3.26248953857489
drop_expectativas__eua__credito__imoveis,full,9,2.723964775685325
drop_expectativas__eua__credito__imoveis,full,10,2.4614703695741613
drop_expectativas__eua__credito__imoveis,full,11,2.287840683732437
drop_expectativas__eua__credito__imoveis,full,12,2.142707385700346
drop_expectativas__eua__credito__imoveis,full,13,2.070986351702216
drop_expectativas__eua__credito__imoveis,full,14,1.980389811306054
drop_expectativas__eua__credito__imoveis,full,15,1.7848558723623233
drop_expectativas__eua__credito__imoveis,full,16,1.7235755093703689
drop_expectativas__eua__credito__imoveis,full,17,1.6320098831109737
drop_expectativas__eua__credito__imoveis,full,18,1.5421014718085118
drop_expectativas__eua__credito__imoveis,full,19,1.527107212852257
drop_expectativas__eua__credito__imoveis,full,20,1.439622606295279
drop_expectativas__eua__credito__imoveis,pre_covid,1,14.232535579234302
drop_expectativas__eua__credito__imoveis,pre_covid,2,11.228155274322681
drop_expectativas__eua__credito__imoveis,pre_covid,3,6.735895593312946
drop_expectativas__eua__credito__imoveis,pre_covid,4,5.4284594490898055
drop_expectativas__eua__credito__imoveis,pre_covid,5,4.998603288684652
drop_expectativas__eua__credito__imoveis,pre_covid,6,4.927194027928255
