variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_eua,6,3,6,118,153,147,3.514298548897163,3.514298548897163,TRUE,0,3.647578928742748,0.9699801516968032,TRUE
drop_eua,6,4,6,118,153,147,3.42765707785305,3.42765707785305,TRUE,4.440892098500626e-16,3.281348164888781,0.9699801516968032,TRUE
drop_eua,6,5,6,118,153,147,4.2609563098326735,4.2609563098326735,TRUE,0,4.214058637422937,0.9699801516968032,TRUE
drop_eua,6,6,6,118,153,147,6.477152821124427,6.477152821124427,TRUE,0,7.378820915639783,0.9699801516968032,TRUE
drop_eua,7,1,6,118,153,147,3.674540427672506,3.674540427672506,FALSE,NA,3.364523261503975,0.9681499661880058,TRUE
drop_eua,7,2,6,118,153,147,3.5062061181667876,3.5062061181667876,FALSE,NA,3.2432880981687986,0.9681499661880058,TRUE
drop_eua,7,3,6,118,153,147,6.828433395810923,6.828433395810923,TRUE,0,7.869890411175435,0.9681499661880058,TRUE
drop_eua,7,4,6,118,153,147,6.050174035982397,6.050174035982397,TRUE,0,6.199390737259843,0.9681499661880058,TRUE
drop_eua,7,5,6,118,153,147,6.896413080801699,6.896413080801699,TRUE,0,7.491275388243958,0.9681499661880058,TRUE
drop_eua,7,6,6,118,153,147,7.146025484035281,7.146025484035281,TRUE,0,7.722512589336307,0.9681499661880058,TRUE
drop_eua,7,7,6,118,153,147,8.880843067082207,8.880843067082207,TRUE,0,10.47961747514072,0.9681499661880058,TRUE
drop_eua,8,1,6,118,153,147,3.4524016232473564,3.4524016232473564,FALSE,NA,2.857001371821367,0.9821281877448556,TRUE
drop_eua,8,2,6,118,153,147,3.571334084234348,3.571334084234348,FALSE,NA,3.131644007860719,0.9821281877448556,TRUE
drop_eua,8,3,6,118,153,147,7.003058153517966,7.003058153517966,TRUE,0,7.336155563000608,0.9821281877448556,TRUE
drop_eua,8,4,6,118,153,147,7.214846059647352,7.214846059647352,TRUE,0,7.667676015109234,0.9821281877448556,TRUE
drop_eua,8,5,6,118,153,147,7.855921526524727,7.855921526524727,TRUE,0,8.872790398148542,0.9821281877448556,TRUE
