variant,r,q,variable,rmse,full_rms,normalized_rmse,sign_agreement
drop_fiscal__eua,4,2,cambio_usd,0.2357481008061334,0.3800950671829948,0.6202345706650113,1
drop_fiscal__eua,4,2,yield_2y,0.0022315738156642416,0.011483052151020334,0.19433629546530917,1
drop_fiscal__eua,4,2,yield_5y,0.002840158678457776,0.013266978205920871,0.21407728529999784,1
drop_fiscal__eua,4,2,yield_6m,0.0011453719211971384,0.005295572409005406,0.2162885959692236,1
drop_fiscal__eua__credito,4,3,asset_ibov,42.01311407528533,5.085699861910752,8.261029006045307,0.2857142857142857
drop_fiscal__eua__credito,4,3,cambio_usd,0.12173587216358524,0.24364972373713698,0.4996347637763823,1
drop_fiscal__eua__credito,4,3,yield_2y,0.0055956713225817105,0.01029379195201764,0.5435966987350009,1
drop_fiscal__eua__credito,4,3,yield_5y,0.00481822694363003,0.009925816593199759,0.4854237329884806,1
drop_fiscal__eua__credito,4,3,yield_6m,0.004684054192050875,0.007005718378747113,0.6686044084016636,1
drop_fiscal__eua__credito__imoveis,4,2,asset_ibov,24.873816774618323,17.087297202994034,1.4556905330972962,1
drop_fiscal__eua__credito__imoveis,4,2,cambio_usd,0.2773241625031589,0.4192346799544478,0.6615010059122297,1
drop_fiscal__eua__credito__imoveis,4,2,yield_2y,0.0046396127441883424,0.011644983763877825,0.3984215726070994,1
drop_fiscal__eua__credito__imoveis,4,2,yield_5y,0.004773255403168449,0.013768677508374709,0.34667493666440713,1
drop_fiscal__eua__credito__imoveis,4,2,yield_6m,0.0015958377659513715,0.005016225162059752,0.3181351941737982,1
