variant,r,q,xi_mp,xi_mp_reestimated,old_grid_xi_difference
drop_eua__credito,7,4,6.032006767412115,6.032006767412115,0
drop_eua__credito,7,5,6.88999470959424,6.88999470959424,0
drop_eua__credito,7,6,7.228600499622841,7.228600499622841,0
drop_eua__credito,7,7,9.333462049717438,9.333462049717438,0
drop_eua__credito,8,3,7.188074387611701,7.188074387611701,0
drop_eua__credito,8,4,7.500658973796423,7.500658973796423,0
drop_eua__credito,8,5,8.003469202991498,8.003469202991498,0
drop_eua__credito,8,6,7.878354726253032,7.878354726253032,0
drop_eua__credito,8,7,7.893054565797625,7.893054565797625,0
drop_eua__credito,8,8,10.072529948275248,10.072529948275248,0
drop_eua__credito__imoveis,5,3,3.03370412430448,3.03370412430448,0
drop_eua__credito__imoveis,5,4,4.633563304683929,4.633563304683929,0
drop_eua__credito__imoveis,5,5,6.390820147929125,6.390820147929125,0
drop_eua__credito__imoveis,6,3,3.947432954242052,3.947432954242052,0
drop_eua__credito__imoveis,6,4,3.052788777194672,3.052788777194672,0
drop_eua__credito__imoveis,6,5,4.718502674523058,4.718502674523058,0
drop_eua__credito__imoveis,6,6,7.464932561954773,7.464932561954773,0
drop_eua__credito__imoveis,7,3,7.112142503679528,7.112142503679528,0
drop_eua__credito__imoveis,7,4,6.1529182868149634,6.1529182868149634,0
drop_eua__credito__imoveis,7,5,7.17259105683278,7.17259105683278,0
drop_eua__credito__imoveis,7,6,7.5871566520599565,7.5871566520599565,0
drop_eua__credito__imoveis,7,7,9.694196465616066,9.694196465616066,0
drop_eua__credito__imoveis,8,3,7.449720887200433,7.449720887200433,0
drop_eua__credito__imoveis,8,4,7.670870545750855,7.670870545750855,0
drop_eua__credito__imoveis,8,5,8.25720899070369,8.25720899070369,0
drop_eua__credito__imoveis,8,6,8.19030494481946,8.19030494481946,0
drop_eua__credito__imoveis,8,7,8.200832726112365,8.200832726112365,0
drop_eua__credito__imoveis,8,8,10.391263618848305,10.391263618848305,1.7763568394002505e-15
drop_eua__imoveis,5,3,3.1984090072888396,3.1984090072888396,0
drop_eua__imoveis,5,4,4.652764490906216,4.652764490906216,0
drop_eua__imoveis,5,5,5.935526886124433,5.935526886124433,0
drop_eua__imoveis,6,3,4.318610855463979,4.318610855463979,0
drop_eua__imoveis,6,4,3.179379522982631,3.179379522982631,0
drop_eua__imoveis,6,5,4.401568669954897,4.401568669954897,0
drop_eua__imoveis,6,6,6.805085583700509,6.805085583700509,0
drop_eua__imoveis,7,3,6.82793970025566,6.82793970025566,0
drop_eua__imoveis,7,4,6.1177498846149385,6.1177498846149385,0
drop_eua__imoveis,7,5,7.07993419686207,7.07993419686207,0
drop_eua__imoveis,7,6,7.407606588289261,7.407606588289261,0
drop_eua__imoveis,7,7,9.234028253740256,9.234028253740256,0
drop_eua__imoveis,8,3,7.243239986090302,7.243239986090302,0
drop_eua__imoveis,8,4,7.372916960133422,7.372916960133422,0
drop_eua__imoveis,8,5,8.061688170984569,8.061688170984569,0
drop_eua__imoveis,8,6,8.073862322908786,8.073862322908786,0
drop_eua__imoveis,8,7,8.127946542481782,8.127946542481782,0
drop_eua__imoveis,8,8,9.962349572083909,9.962349572083909,1.7763568394002505e-15
drop_expectativas,5,3,2.324665729006022,2.324665729006022,0
drop_expectativas,5,4,3.735748645813546,3.735748645813546,4.440892098500626e-16
drop_expectativas,5,5,5.040630186410691,5.040630186410691,0
drop_expectativas,6,3,2.658236598034283,2.658236598034283,0
drop_expectativas,6,4,3.7230556338808447,3.7230556338808447,0
drop_expectativas,6,5,4.073687949626393,4.073687949626393,0
drop_expectativas,6,6,5.6086583443648586,5.6086583443648586,0
drop_expectativas,7,3,3.3435945188411864,3.3435945188411864,0
drop_expectativas,7,4,3.7949540431272393,3.7949540431272393,0
drop_expectativas,7,5,4.198539156072723,4.198539156072723,0
drop_expectativas,7,6,4.450084648159911,4.450084648159911,0
drop_expectativas,7,7,6.9589975386722465,6.9589975386722465,0
drop_expectativas,8,3,4.730199120359962,4.730199120359962,0
drop_expectativas,8,4,4.824095846282671,4.824095846282671,0
drop_expectativas,8,5,5.489585813531724,5.489585813531724,0
drop_expectativas,8,6,5.4567576734688075,5.4567576734688075,0
drop_expectativas,8,7,5.3506281247311644,5.3506281247311644,0
