variant,r,q,variable,h,point_pre_covid
drop_expectativas__credito,3,2,yield_6m,5,9.892131509640746e-4
drop_expectativas__credito,3,2,yield_6m,6,0.0012564766323276899
drop_expectativas__credito,3,2,yield_2y,0,0.00973447762893948
drop_expectativas__credito,3,2,yield_2y,1,0.010080097385867497
drop_expectativas__credito,3,2,yield_2y,2,0.0063942329798759336
drop_expectativas__credito,3,2,yield_2y,3,0.008530299259364969
drop_expectativas__credito,3,2,yield_2y,4,0.006271411451959418
drop_expectativas__credito,3,2,yield_2y,5,0.002224489978518041
drop_expectativas__credito,3,2,yield_2y,6,0.0027567637477669653
drop_expectativas__credito,3,2,yield_5y,0,0.012845094122488916
drop_expectativas__credito,3,2,yield_5y,1,0.013063229279038649
drop_expectativas__credito,3,2,yield_5y,2,0.007983305924765888
drop_expectativas__credito,3,2,yield_5y,3,0.01082287503731886
drop_expectativas__credito,3,2,yield_5y,4,0.008383549343440969
drop_expectativas__credito,3,2,yield_5y,5,0.00332728672866064
drop_expectativas__credito,3,2,yield_5y,6,0.004072514639184519
drop_expectativas__credito,3,2,asset_ibov,0,-10.594846341530367
drop_expectativas__credito,3,2,asset_ibov,1,-22.749259670968037
drop_expectativas__credito,3,2,asset_ibov,2,-27.492718639003144
drop_expectativas__credito,3,2,asset_ibov,3,-34.96445672424306
drop_expectativas__credito,3,2,asset_ibov,4,-43.37992779103528
drop_expectativas__credito,3,2,asset_ibov,5,-47.48433389013518
drop_expectativas__credito,3,2,asset_ibov,6,-52.30541997950945
drop_expectativas__credito,3,2,cambio_usd,0,0.1948476358179462
drop_expectativas__credito,3,2,cambio_usd,1,0.21754160688822624
drop_expectativas__credito,3,2,cambio_usd,2,0.12265623517477549
drop_expectativas__credito,3,2,cambio_usd,3,0.16804466879260396
drop_expectativas__credito,3,2,cambio_usd,4,0.1352135995857483
drop_expectativas__credito,3,2,cambio_usd,5,0.047313142185417226
drop_expectativas__credito,3,2,cambio_usd,6,0.05790189127715324
drop_expectativas__credito__imoveis,4,3,yield_6m,0,0.005
drop_expectativas__credito__imoveis,4,3,yield_6m,1,0.00471650868477336
drop_expectativas__credito__imoveis,4,3,yield_6m,2,0.003197309700098128
drop_expectativas__credito__imoveis,4,3,yield_6m,3,0.003855287077918153
drop_expectativas__credito__imoveis,4,3,yield_6m,4,0.0019777321213848716
drop_expectativas__credito__imoveis,4,3,yield_6m,5,3.08768089319974e-4
drop_expectativas__credito__imoveis,4,3,yield_6m,6,6.420353364492333e-4
drop_expectativas__credito__imoveis,4,3,yield_2y,0,0.009580530860742174
drop_expectativas__credito__imoveis,4,3,yield_2y,1,0.009723627629527281
drop_expectativas__credito__imoveis,4,3,yield_2y,2,0.005882998106892111
drop_expectativas__credito__imoveis,4,3,yield_2y,3,0.007338071972571473
drop_expectativas__credito__imoveis,4,3,yield_2y,4,0.004722031197859432
drop_expectativas__credito__imoveis,4,3,yield_2y,5,0.0012234292422162855
drop_expectativas__credito__imoveis,4,3,yield_2y,6,0.001549653297549419
drop_expectativas__credito__imoveis,4,3,yield_5y,0,0.012333333508237192
drop_expectativas__credito__imoveis,4,3,yield_5y,1,0.012395375850350174
drop_expectativas__credito__imoveis,4,3,yield_5y,2,0.0072948540907752015
drop_expectativas__credito__imoveis,4,3,yield_5y,3,0.00924229344695543
drop_expectativas__credito__imoveis,4,3,yield_5y,4,0.006500182291859108
drop_expectativas__credito__imoveis,4,3,yield_5y,5,0.0021472186022279145
drop_expectativas__credito__imoveis,4,3,yield_5y,6,0.0023610065159975287
drop_expectativas__credito__imoveis,4,3,asset_ibov,0,-10.813623777637545
drop_expectativas__credito__imoveis,4,3,asset_ibov,1,-22.815800331240656
drop_expectativas__credito__imoveis,4,3,asset_ibov,2,-28.404041760018632
drop_expectativas__credito__imoveis,4,3,asset_ibov,3,-36.669702643221456
drop_expectativas__credito__imoveis,4,3,asset_ibov,4,-44.80561505983937
drop_expectativas__credito__imoveis,4,3,asset_ibov,5,-49.081081495726515
drop_expectativas__credito__imoveis,4,3,asset_ibov,6,-54.01711451152485
drop_expectativas__credito__imoveis,4,3,cambio_usd,0,0.1911501436582577
drop_expectativas__credito__imoveis,4,3,cambio_usd,1,0.207233760889627
drop_expectativas__credito__imoveis,4,3,cambio_usd,2,0.11496024558845708
drop_expectativas__credito__imoveis,4,3,cambio_usd,3,0.14709462430633427
drop_expectativas__credito__imoveis,4,3,cambio_usd,4,0.10807552505513787
drop_expectativas__credito__imoveis,4,3,cambio_usd,5,0.031869389537693034
drop_expectativas__credito__imoveis,4,3,cambio_usd,6,0.03453377286072776
drop_expectativas__eua,3,3,yield_6m,0,0.005
drop_expectativas__eua,3,3,yield_6m,1,0.004979825271935627
drop_expectativas__eua,3,3,yield_6m,2,0.0040667354276664545
drop_expectativas__eua,3,3,yield_6m,3,0.004822168970796974
drop_expectativas__eua,3,3,yield_6m,4,0.0037937322118565217
drop_expectativas__eua,3,3,yield_6m,5,0.00268311617147973
drop_expectativas__eua,3,3,yield_6m,6,0.0030418105957222153
drop_expectativas__eua,3,3,yield_2y,0,0.00914558734185075
drop_expectativas__eua,3,3,yield_2y,1,0.009933997127248023
drop_expectativas__eua,3,3,yield_2y,2,0.006965218891532243
drop_expectativas__eua,3,3,yield_2y,3,0.00884556733268986
drop_expectativas__eua,3,3,yield_2y,4,0.00738068039946271
drop_expectativas__eua,3,3,yield_2y,5,0.005023772035156983
drop_expectativas__eua,3,3,yield_2y,6,0.005716734111167933
drop_expectativas__eua,3,3,yield_5y,0,0.011573979768448832
drop_expectativas__eua,3,3,yield_5y,1,0.01250778764243267
drop_expectativas__eua,3,3,yield_5y,2,0.008468949295163125
drop_expectativas__eua,3,3,yield_5y,3,0.01103314059614136
drop_expectativas__eua,3,3,yield_5y,4,0.00949042446883218
drop_expectativas__eua,3,3,yield_5y,5,0.006552544724564893
drop_expectativas__eua,3,3,yield_5y,6,0.007468066923945321
drop_expectativas__eua,3,3,asset_ibov,0,-7.348174134676282
drop_expectativas__eua,3,3,asset_ibov,1,-16.918679898648442
drop_expectativas__eua,3,3,asset_ibov,2,-20.502808284580276
drop_expectativas__eua,3,3,asset_ibov,3,-27.200179893809107
drop_expectativas__eua,3,3,asset_ibov,4,-34.51058419802296
drop_expectativas__eua,3,3,asset_ibov,5,-39.357247024112354
drop_expectativas__eua,3,3,asset_ibov,6,-44.9509064171025
drop_expectativas__eua,3,3,cambio_usd,0,0.17629645942779743
drop_expectativas__eua,3,3,cambio_usd,1,0.20718985216234337
drop_expectativas__eua,3,3,cambio_usd,2,0.12859528990086733
drop_expectativas__eua,3,3,cambio_usd,3,0.1723799018972774
drop_expectativas__eua,3,3,cambio_usd,4,0.14906699009301771
drop_expectativas__eua,3,3,cambio_usd,5,0.09727315406892469
drop_expectativas__eua,3,3,cambio_usd,6,0.11097156776501688
drop_expectativas__eua__credito,3,3,yield_6m,0,0.005
drop_expectativas__eua__credito,3,3,yield_6m,1,0.004953075858345415
drop_expectativas__eua__credito,3,3,yield_6m,2,0.004238990191524967
drop_expectativas__eua__credito,3,3,yield_6m,3,0.005067855534087033
drop_expectativas__eua__credito,3,3,yield_6m,4,0.003912988200361634
drop_expectativas__eua__credito,3,3,yield_6m,5,0.0026210323641498723
drop_expectativas__eua__credito,3,3,yield_6m,6,0.002951190222740332
drop_expectativas__eua__credito,3,3,yield_2y,0,0.009230102097312336
drop_expectativas__eua__credito,3,3,yield_2y,1,0.010071101693393203
drop_expectativas__eua__credito,3,3,yield_2y,2,0.0072224529797320774
drop_expectativas__eua__credito,3,3,yield_2y,3,0.009349643924895406
drop_expectativas__eua__credito,3,3,yield_2y,4,0.007723600842118502
drop_expectativas__eua__credito,3,3,yield_2y,5,0.004991483349440496
drop_expectativas__eua__credito,3,3,yield_2y,6,0.005599641357284777
drop_expectativas__eua__credito,3,3,yield_5y,0,0.011838263279904336
