sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,8,7,7,ok,0.981987036110389,NA,calendario,permute,TRUE,97,49,0.8146171369988107,0.6941123155048239,2.11643269205235,-0.6509551514665738,0.2818804890442613,1.216784957622709,2.781984899701285,0.4805194805194805,30.278257261141107,0.30179709843335684,0.6487025948103793,0.14461905803208838,1,1,FALSE,NA,FALSE,fails
full,8,7,7,ok,0.981987036110389,NA,episodio_s2,rotate,TRUE,69,77,1.1533855925108807,0.8370926605293079,2.7416383422011696,-1.0858963030790452,0.28024090197996426,1.5359240545707706,3.564578907233516,0.06393606393606394,71.11165902003003,7.774543988135171e-6,0.027944111776447105,0.1307917719392719,1,1,FALSE,NA,FALSE,fails
full,8,7,7,ok,0.981987036110389,NA,intensidade_z,permute,FALSE,49,97,1.287493418668645,0.8328762703903796,3.3811614928799996,-0.8451693646685028,0.30758933398964033,1.9228101792219257,3.229421146070264,0.23076923076923078,49.31035683307552,0.005461027162437428,0.20159680638722555,0.10116639283312978,1,1,FALSE,NA,FALSE,fails
full,8,7,7,ok,0.981987036110389,NA,volatilidade_juros,permute,TRUE,37,109,1.8208368525087686,1.0103084591312361,4.795262815828853,-0.781912951215502,0.33441563370779737,1.7558889125460666,4.320684234901956,0.054945054945054944,61.879766823176176,1.487830307430483e-4,0.033932135728542916,0.18691083160832658,1,1,FALSE,NA,FALSE,fails
full,8,7,7,ok,0.981987036110389,2021-08-01,quebra_livre,rotate,TRUE,50,96,1.1540945296301137,0.8395909426718546,1.8540681260308234,-0.8816437986260977,0.3076881123639673,2.8377303111589023,2.8792998953527262,0.2897102897102897,54.47931361718152,0.0013287528926504534,0.07385229540918163,0.13577092312258995,1,1,FALSE,NA,FALSE,fails
full,8,7,8,ok,0.9916477473007124,NA,calendario,permute,TRUE,96,49,0.8053578643641276,0.7622184929773436,2.2527476849530323,-0.4474425680420021,0.3008428960979605,1.219966015454811,2.7167132768285542,0.6023976023976024,23.782847639287958,0.6423325453670401,0.8902195608782435,0.0910880977759485,1,1,FALSE,NA,FALSE,fails
full,8,7,8,ok,0.9916477473007124,NA,episodio_s2,rotate,TRUE,69,76,1.2002065897858716,0.753738868577738,2.744004636184443,-1.1078013812247796,0.2980695919841573,1.8964340517115366,3.805665516761955,0.02097902097902098,75.24905677518998,1.940096300414342e-6,0.023952095808383235,0.061653750297645575,1,1,FALSE,NA,FALSE,fails
full,8,7,8,ok,0.9916477473007124,NA,intensidade_z,permute,FALSE,48,97,1.3350175408303107,0.7360063543741422,3.783769791672652,-0.8907960932253289,0.3347653532976038,2.1222411691828413,3.3542053536938004,0.22077922077922077,51.36703357288536,0.0031518934085186232,0.21756487025948104,0.1428725708323603,1,1,FALSE,NA,FALSE,fails
full,8,7,8,ok,0.9916477473007124,NA,volatilidade_juros,permute,TRUE,36,109,2.1318965567249895,1.0248936123291355,5.35468482994329,-0.8089395247075669,0.4238108666796971,2.1794087746948874,5.401007803724618,0.015984015984015984,63.70052929416774,8.460630528895831e-5,0.03592814371257485,0.1721391327056915,1,1,FALSE,NA,FALSE,fails
full,8,7,8,ok,0.9916477473007124,2020-03-01,quebra_livre,rotate,TRUE,67,78,1.2378016775614022,0.726055200803389,2.9821878012497587,-1.0765927746112842,0.29558918038168575,1.9920368469681098,3.8802766398076347,0.013986013986013986,79.34159788860754,4.7498342716710374e-7,0.007984031936127744,0.2517114926893823,1,1,FALSE,NA,FALSE,fails
full,8,8,5,ok,0.9829725022706615,NA,calendario,permute,TRUE,98,50,3.845184050661008,2.1547383423403126,8.930326690209753,-3.228553163732566,0.32461403387637283,2.4635207773742973,1.9438375389823406,0.22377622377622378,63.34970011196588,0.0023329468468364064,0.21157684630738524,0.12372896941526605,1,1,FALSE,NA,FALSE,fails
