r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,2,yield_2y,32,-0.004507676307663175,-0.007113239839025999,-0.0021259963459219233,-0.009942404826046346,3.6138521411608075e-5,q=5
5,5,2,yield_2y,33,-0.004422674130238222,-0.007077302871028885,-0.0020388100774018504,-0.010008460720906638,8.564184707730446e-5,q=5
5,5,2,yield_2y,34,-0.0043089387697271735,-0.0070054284717497375,-0.001927188479618335,-0.01002919356156497,1.5885407899987497e-4,q=5
5,5,2,yield_2y,35,-0.00416806132117639,-0.006898647395351975,-0.0017928810618806743,-0.010004409734938848,2.539988253787894e-4,q=5
5,5,2,yield_2y,36,-0.004001779094848943,-0.006758211218445933,-0.001637748022112886,-0.00993425536202043,3.691914821018929e-4,q=5
5,5,2,yield_2y,37,-0.003811959516513383,-0.006585588338978633,-0.0014637344250487201,-0.009819231957278584,5.024776345881096e-4,q=5
5,5,2,yield_2y,38,-0.00360058353725286,-0.00638245893423216,-0.0012728440450608558,-0.009660209024848241,6.518709504101334e-4,q=5
5,5,2,yield_2y,39,-0.0033697286848021223,-0.006150708975277177,-0.0010671130272974065,-0.00945843377827558,8.153905371640039e-4,q=5
5,5,2,yield_2y,40,-0.0031215518890103985,-0.005892423444316579,-8.485834781918814e-4,-0.009215538294538117,9.91097841728998e-4,q=5
5,5,2,yield_2y,41,-0.002858272210240101,-0.005609878934660861,-6.192770595776094e-4,-0.008933544500916607,0.0011771332463891638,q=5
5,5,2,yield_2y,42,-0.0025821535968319777,-0.005305535826503585,-3.811686462678395e-4,-0.008614867439083766,0.0013717525508624535,q=5
5,5,2,yield_2y,43,-0.0022954877934246334,-0.004982030218242247,-1.3616011560193744e-4,-0.0082623172470726175,0.0015733635187413406,q=5
5,5,2,yield_2y,44,-0.0020005775173784802,-0.004642165739969034,1.13945614651034e-4,-0.0078791002238138,0.0017805625846473376,q=5
5,5,2,yield_2y,45,-0.0016997200151268983,-0.004288905263113951,3.674700783255897e-4,-0.007468819155098303,0.0019921716293880166,q=5
5,5,2,yield_2y,46,-0.0013951911043825402,-0.003925362318572577,6.22883867932627e-4,-0.007035472722693837,0.0022072743718114037,q=5
5,5,2,yield_2y,47,-0.0010892298016218546,-0.003554791705514272,8.788296216964569e-4,-0.0065834532011560315,0.0024252513097330953,q=5
5,5,2,yield_2y,48,-7.840236273087327e-4,-0.003180578268125178,0.0011341421616649576,-0.00611754065317232,0.002645811151395609,q=5
5,5,2,yield_5y,0,0.0070487346451286546,0.005176465823683301,0.008756111823400324,0.0031389857153754338,0.010302320094889576,q=5
5,5,2,yield_5y,1,0.008587438138598311,0.006219875909807703,0.010768108438350438,0.003667702721074517,0.012763462982438337,q=5
5,5,2,yield_5y,2,0.007377019474022611,0.004641592124613373,0.010051693170662623,0.0018589994453225953,0.012653278747259068,q=5
5,5,2,yield_5y,3,0.006675946944674406,0.0038696126478665674,0.009479304281433698,0.0010748203317342921,0.01226522715698646,q=5
5,5,2,yield_5y,4,0.005779766675791838,0.003189707049858561,0.008436858865504151,6.782701184563365e-4,0.011148010046219183,q=5
5,5,2,yield_5y,5,0.004998081218409146,0.0026312801441176364,0.007503489568711671,4.083862158290823e-4,0.010139344698500455,q=5
