painel,escolhido,r,standardize_resid,q_hat,q,aw_ic2
simples_0.90,FALSE,7,FALSE,2,4,-0.47911847384669626
simples_0.90,FALSE,7,FALSE,2,5,-0.4600614277872474
simples_0.90,FALSE,7,FALSE,2,6,-0.4390099230166624
simples_0.90,FALSE,7,FALSE,2,7,-0.4145223318653658
simples_0.90,FALSE,7,TRUE,2,1,-0.06987652285215654
simples_0.90,TRUE,7,TRUE,2,2,-0.11551176139952996
simples_0.90,FALSE,7,TRUE,2,3,-0.10333558911487106
simples_0.90,FALSE,7,TRUE,2,4,-0.08817654923035623
simples_0.90,FALSE,7,TRUE,2,5,-0.06707299156468305
simples_0.90,FALSE,7,TRUE,2,6,-0.042695468276617354
simples_0.90,FALSE,7,TRUE,2,7,-0.018203440122366077
simples_0.90,FALSE,8,FALSE,2,1,-0.5018226615213109
simples_0.90,TRUE,8,FALSE,2,2,-0.5373303043368836
simples_0.90,FALSE,8,FALSE,2,3,-0.5265698969009263
simples_0.90,FALSE,8,FALSE,2,4,-0.5127844301846665
simples_0.90,FALSE,8,FALSE,2,5,-0.4946823906713797
simples_0.90,FALSE,8,FALSE,2,6,-0.4749046070893035
simples_0.90,FALSE,8,FALSE,2,7,-0.4513746968943949
simples_0.90,FALSE,8,FALSE,2,8,-0.4281727961380053
simples_0.90,FALSE,8,TRUE,2,1,-0.0668058497340468
simples_0.90,TRUE,8,TRUE,2,2,-0.10837594372058407
simples_0.90,FALSE,8,TRUE,2,3,-0.09610474143356401
simples_0.90,FALSE,8,TRUE,2,4,-0.08178591119412754
simples_0.90,FALSE,8,TRUE,2,5,-0.06145771643355313
simples_0.90,FALSE,8,TRUE,2,6,-0.03846858315847784
simples_0.90,FALSE,8,TRUE,2,7,-0.014986577704195647
simples_0.90,FALSE,8,TRUE,2,8,0.011464959076125658
