window_cell,q,variable,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90
cheia_p4,5,yield_2y,18,-0.002991719404332918,-0.00907339720861605,0.001921709824881191,-0.016786394529037695,0.005969876018736065,interval,interval
cheia_p4,5,ibc_br,18,-0.38873019227740147,-0.804038866902649,-0.05062962598002301,-1.327160736348243,0.23028807162945525,interval,interval
cheia_p4,5,asset_ibov,18,0.8167935614544436,-0.48984066315040203,1.8168014287450518,-2.2274293551760307,2.592493960576689,interval,interval
cheia_p4,5,cds_5y,18,-10.44714473762947,-22.2586069689901,-0.5377514156373001,-36.73549062304362,7.972284520654973,interval,interval
cheia_p4,5,price_ipca,18,-0.21713065850571941,-0.4066850510044012,-0.07913693752141714,-0.6696006637673784,0.02203128867922786,interval,interval
cheia_p4,5,cambio_usd,19,-0.08720643300962395,-0.1593325754151446,-0.026077835606871935,-0.24691319084742955,0.027003148409569914,interval,interval
cheia_p4,5,yield_6m,19,-0.0016982459249124762,-0.006997557701561519,0.002720836986473493,-0.01352883641853983,0.006490811120882079,interval,interval
cheia_p4,5,yield_2y,19,-0.0038581054027031726,-0.010057966543520184,0.001160952932704331,-0.01790663561265271,0.005305407874850692,interval,interval
cheia_p4,5,ibc_br,19,-0.3995417439353626,-0.8124785108783706,-0.06297245453751717,-1.3320577438847307,0.2170396908322376,interval,interval
cheia_p4,5,asset_ibov,19,0.5970108291097102,-0.7504511388609646,1.6363760132844245,-2.5302893635130155,2.4497053053800353,interval,interval
