p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_6m,40,-0.003436425860770773,-0.004980374084222329,3.122685297600522e-4,-0.007032833826468106,0.0027246281167121853
4,yield_6m,41,-0.00342481196642937,-0.005097555309546026,2.4158129683045384e-4,-0.007014793728527305,0.002674756510573008
4,yield_6m,42,-0.0033940721452108157,-0.005072457594327968,1.6843395690593029e-4,-0.006968821784050472,0.0026556306165213435
4,yield_6m,43,-0.0033455955341782397,-0.004997030359137918,1.3945673732269212e-4,-0.007044081886819486,0.0024731199788692185
4,yield_6m,44,-0.00328081239710384,-0.005045336585296894,1.343903668259759e-4,-0.006940704992237263,0.0023245845209716406
4,yield_6m,45,-0.0032011808048839304,-0.005003771884558206,1.6228122557545137e-4,-0.006762349549976034,0.0023202407446387668
4,yield_6m,46,-0.003108173703683066,-0.004943409698158651,2.3900758975096324e-4,-0.006614175883336942,0.0022547540675459223
4,yield_6m,47,-0.003003266594524404,-0.004826062896190527,3.152297247752697e-4,-0.006525190692285532,0.0023316134494699103
4,yield_6m,48,-0.002887926273067101,-0.004703400623815173,4.022354015672866e-4,-0.006431410762990057,0.002346117519120055
4,yield_1y,0,0.006212018172819602,0.005820595291205219,0.0064955859262474476,0.00561539504970646,0.006804007474574756
4,yield_1y,1,0.00756037064259726,0.006444061711312397,0.008325565784905332,0.005765443613016732,0.009070329245515775
4,yield_1y,2,0.008037253612284441,0.006433486250705297,0.009287831731746958,0.005457265788796357,0.01048932089107383
4,yield_1y,3,0.00861712519644178,0.006804195517008543,0.010361802848253719,0.00569131337682484,0.011722254418372073
4,yield_1y,4,0.00860951439748111,0.00655756019612099,0.010827723360695467,0.005281048856846661,0.012520523533695677
4,yield_1y,5,0.008325140222544374,0.006129592814352988,0.011059851361641344,0.004754599856098876,0.012924266622146316
4,yield_1y,6,0.008225587617397648,0.005930543707954437,0.011432790753224576,0.004589276320678613,0.013572212691015233
4,yield_1y,7,0.007910788863180479,0.0056018459641265835,0.011551615215920597,0.004285675182904838,0.013683803370060935
4,yield_1y,8,0.007428674265543488,0.005142508464342899,0.011406465117892268,0.003802121666146758,0.01399124601941081
4,yield_1y,9,0.006996396238617973,0.004747215012441243,0.011135255218064946,0.0032039442810553233,0.01395227105767347
4,yield_1y,10,0.00651850426250237,0.004280525656773034,0.01082299266495658,0.002694158551749185,0.013833779917438215
4,yield_1y,11,0.005959952881877407,0.0037275624561316435,0.010414939272979694,0.002152525893102948,0.013578077009481314
4,yield_1y,12,0.005404519971903626,0.0031863959534212897,0.010055703784790072,0.0014882246564799659,0.013230102104071212
4,yield_1y,13,0.004844697882362661,0.0026842321132599127,0.00959783536978341,0.0010286224610679502,0.012943758062165535
4,yield_1y,14,0.004259488435829008,0.002164315852400568,0.009202593962073019,5.495758450602118e-4,0.012410430470516145
4,yield_1y,15,0.003673733849002833,0.0016819467039251711,0.008779119927009622,7.507658198677518e-5,0.011990479075993543
4,yield_1y,16,0.003096235480256607,0.0011561165381569981,0.00807863267637293,-4.3814341494766455e-4,0.011165815679349508
4,yield_1y,17,0.0025210701814297456,6.189005267412146e-4,0.007617134714933868,-0.0010562265164870762,0.010771477055886151
4,yield_1y,18,0.001955250102397746,3.3832507748916545e-05,0.007164958428335377,-0.0017523493940593677,0.01028130478838414
4,yield_1y,19,0.0014056033467054253,-4.18078449855853e-4,0.006689838584918043,-0.0023068954507013176,0.009721404285417356
4,yield_1y,20,8.725639104437544e-4,-8.870778281490911e-4,0.006025025691441775,-0.002823222353213095,0.00928142599017222
4,yield_1y,21,3.589302438917244e-4,-0.0013663200797677491,0.0055947669317613895,-0.0034337373041618607,0.008677811297182132
4,yield_1y,22,-1.3144928382775238e-4,-0.00185770404831906,0.005170172379960587,-0.0038272821181601882,0.00832249052316083
4,yield_1y,23,-5.968979756729842e-4,-0.002258736800251459,0.004746437583355684,-0.004314699430652992,0.007895923582930623
4,yield_1y,24,-0.0010357809886209562,-0.002762409427555219,0.004246542564884738,-0.004845764149035724,0.007294934996108999
4,yield_1y,25,-0.0014460955396027714,-0.0032598211399452537,0.0037668827935607033,-0.005215300349251036,0.0067334954296389285
4,yield_1y,26,-0.0018266017203571428,-0.0035683271369123565,0.0033384477995993473,-0.00550634603652672,0.00617434752066377
4,yield_1y,27,-0.0021764416282170143,-0.003775734557438738,0.002979592297408759,-0.005680533349838279,0.005607538978183159
4,yield_1y,28,-0.002494803287688049,-0.004127478705966388,0.002648664056034514,-0.00617288688255045,0.005156642919032672
4,yield_1y,29,-0.0027812375102548334,-0.004342502677783185,0.0022474217833744863,-0.006385307349692216,0.00478162383708047
4,yield_1y,30,-0.0030356310573401548,-0.004528162662755143,0.0018314568557063955,-0.006604591813505063,0.004583939650827225
4,yield_1y,31,-0.0032580493323910464,-0.004647957718661016,0.0015676117956113537,-0.006962928348704974,0.004395692200487539
4,yield_1y,32,-0.0034487961600453356,-0.004894794770795283,0.0012817097330160695,-0.007258973761730835,0.004150188111273948
4,yield_1y,33,-0.003608424390442283,-0.005058755573002845,9.338586060699903e-4,-0.007468420025323152,0.003997535386196164
4,yield_1y,34,-0.0037376695848014355,-0.0051815452622645,7.064889253054768e-4,-0.007659096652742475,0.0036917774426999195
4,yield_1y,35,-0.003837442049592471,-0.005346132806260346,4.814825718919444e-4,-0.00768183704803901,0.003608195729797126
4,yield_1y,36,-0.003908824780804935,-0.00548773881346085,3.9362426647407764e-4,-0.007848400905956074,0.0034286637910251683
4,yield_1y,37,-0.003953041529895565,-0.005574243790417788,3.633507284840783e-4,-0.007980172850456112,0.003341572675584569
4,yield_1y,38,-0.0039714364723526605,-0.0056424365167462315,2.7914860447954444e-4,-0.008085444619483918,0.0032722732628860988
4,yield_1y,39,-0.003965462170406531,-0.005677799356678206,2.528163036564806e-4,-0.00811230558890432,0.0032989113676118887
4,yield_1y,40,-0.003936658926152919,-0.005685896676705502,1.989199708757744e-4,-0.008082632501142653,0.003131519204074551
4,yield_1y,41,-0.0038866353863467925,-0.005651664750286837,1.6214836036163897e-4,-0.008071235040076279,0.0032277729013670676
4,yield_1y,42,-0.003817053558964713,-0.005599259027545806,1.663135103785921e-4,-0.00796754353733012,0.0031653696585222687
4,yield_1y,43,-0.003729612482288684,-0.005700092912470476,1.6655154630061764e-4,-0.007857014494794205,0.0028396024352976062
4,yield_1y,44,-0.003626032046395152,-0.005631551538941814,2.1602309828790223e-4,-0.007623072930757355,0.002796884365087634
4,yield_1y,45,-0.0035080389835981892,-0.005575757520839614,3.31327025215958e-4,-0.007405140004487377,0.002773693773197474
4,yield_1y,46,-0.003377353500840916,-0.005490431130166419,4.0944642401836854e-4,-0.0074649484722902285,0.0027961831884298306
4,yield_1y,47,-0.0032356764693223746,-0.005412969834187782,5.06938014259752e-4,-0.007322965202763621,0.002825824956738957
4,yield_1y,48,-0.0030846779670470254,-0.005289983568798657,6.173846128245025e-4,-0.0071302129543257525,0.00279377770899245
4,yield_2y,0,0.0070840085984858955,0.006245118099523616,0.007888600684319977,0.005790071170765508,0.008548193397279177
4,yield_2y,1,0.008498261323872859,0.006996295730132093,0.009546905435547698,0.006029005427870791,0.010737581345100531
4,yield_2y,2,0.008564260259955459,0.006584282881258405,0.010112944051040969,0.005505447368777968,0.011509597832408644
4,yield_2y,3,0.009209334783826005,0.007142744280997733,0.011224066973270413,0.005784497874229266,0.01293709566005406
4,yield_2y,4,0.009102842167613678,0.006748441079808673,0.011628236451736605,0.005281704776213538,0.01339414719784483
4,yield_2y,5,0.008577463150655214,0.006117277734565194,0.01164147234529714,0.004730543682392803,0.013591927860748858
4,yield_2y,6,0.008374566659845066,0.005918018574439793,0.01183465318494262,0.004426924688029383,0.013829178480680677
4,yield_2y,7,0.00797064630383199,0.005425486390688249,0.011787521695859168,0.003967787158401212,0.01413034497783536
4,yield_2y,8,0.007322535768039337,0.004785336930639984,0.011451216062466124,0.0034227282123645794,0.01398159594135455
4,yield_2y,9,0.006786842876943736,0.004357453453579893,0.011140383953576832,0.0028679192583142637,0.01403236196991243
4,yield_2y,10,0.006231061044454135,0.00392363790723786,0.010786070350270507,0.0024035709583751117,0.01397015242713981
4,yield_2y,11,0.00557228131324817,0.003317534897125553,0.010326456631935094,0.0016777281169336445,0.01371544973531027
