penalty,c,r_full,S_c,r_min,r_max
IC2,1.1600000000000001,3,0.19555555555555557,2,3
IC2,1.17,3,0.19555555555555557,2,3
IC2,1.18,3,0.19555555555555557,2,3
IC2,1.19,3,0.19555555555555557,2,3
IC2,1.2,3,0.19555555555555557,2,3
IC2,1.21,3,0.22222222222222224,2,3
IC2,1.22,3,0.24555555555555555,2,3
IC2,1.23,3,0.24555555555555555,2,3
IC2,1.24,3,0.24555555555555555,2,3
IC2,1.25,3,0.24888888888888888,2,3
IC2,1.26,3,0.25,2,3
IC2,1.27,3,0.25,2,3
IC2,1.28,3,0.24888888888888888,2,3
IC2,1.29,3,0.24,2,3
IC2,1.3,3,0.22222222222222224,2,3
IC2,1.31,3,0.3288888888888889,1,3
IC2,1.32,3,0.3788888888888889,1,3
IC2,1.33,2,0.26222222222222225,1,3
IC2,1.34,2,0.16555555555555554,1,3
IC2,1.35,2,0.1388888888888889,1,2
IC2,1.36,2,0.2222222222222222,1,2
IC2,1.37,2,0.2222222222222222,1,2
IC2,1.3800000000000001,2,0.2222222222222222,1,2
IC2,1.3900000000000001,2,0.24,1,2
IC2,1.4000000000000001,2,0.24,1,2
IC2,1.4100000000000001,2,0.24,1,2
IC2,1.42,2,0.24,1,2
IC2,1.43,2,0.24,1,2
IC2,1.44,2,0.24,1,2
IC2,1.45,2,0.24,1,2
IC2,1.46,2,0.24888888888888888,1,2
IC2,1.47,2,0.25,1,2
IC2,1.48,2,0.25,1,2
IC2,1.49,2,0.25,1,2
IC2,1.5,2,0.24555555555555555,1,2
IC2,1.51,2,0.2222222222222222,1,2
IC2,1.52,2,0.2222222222222222,1,2
IC2,1.53,2,0.21,1,2
IC2,1.54,2,0.1788888888888889,1,2
IC2,1.55,2,0.1788888888888889,1,2
IC2,1.56,2,0.1788888888888889,1,2
IC2,1.57,2,0.1788888888888889,1,2
IC2,1.58,2,0.1788888888888889,1,2
IC2,1.59,2,0.16,1,2
IC2,1.6,2,0.16,1,2
IC2,1.61,2,0.1388888888888889,1,2
IC2,1.62,2,0.1388888888888889,1,2
IC2,1.6300000000000001,2,0.1388888888888889,1,2
IC2,1.6400000000000001,2,0.09,1,2
IC2,1.6500000000000001,2,0.09,1,2
IC2,1.6600000000000001,2,0.09,1,2
IC2,1.6700000000000002,2,0.09,1,2
IC2,1.68,2,0.09,1,2
IC2,1.69,2,0.09,1,2
IC2,1.7,2,0.09,1,2
IC2,1.71,2,0.09,1,2
IC2,1.72,2,0.09,1,2
IC2,1.73,2,0.06222222222222223,1,2
IC2,1.74,2,0.09888888888888889,0,2
IC2,1.75,2,0.13333333333333333,0,2
IC2,1.76,1,0.15666666666666668,0,2
IC2,1.77,1,0.1388888888888889,0,1
IC2,1.78,1,0.1388888888888889,0,1
IC2,1.79,1,0.1388888888888889,0,1
IC2,1.8,1,0.1388888888888889,0,1
IC2,1.81,1,0.16,0,1
IC2,1.82,1,0.19555555555555554,0,1
IC2,1.83,1,0.22222222222222224,0,1
IC2,1.84,1,0.24555555555555555,0,1
IC2,1.85,1,0.2488888888888889,0,1
IC2,1.86,1,0.2488888888888889,0,1
IC2,1.87,1,0.2488888888888889,0,1
IC2,1.8800000000000001,1,0.2488888888888889,0,1
IC2,1.8900000000000001,1,0.2488888888888889,0,1
IC2,1.9000000000000001,1,0.2488888888888889,0,1
IC2,1.9100000000000001,1,0.2488888888888889,0,1
IC2,1.9200000000000002,1,0.2488888888888889,0,1
IC2,1.93,1,0.2488888888888889,0,1
IC2,1.94,1,0.24555555555555555,0,1
IC2,1.95,1,0.24555555555555555,0,1
IC2,1.96,1,0.24555555555555555,0,1
IC2,1.97,1,0.24555555555555555,0,1
IC2,1.98,1,0.24555555555555555,0,1
IC2,1.99,1,0.24555555555555555,0,1
IC2,2,1,0.24555555555555555,0,1
IC2,2.01,1,0.24000000000000002,0,1
IC2,2.02,1,0.24000000000000002,0,1
IC2,2.03,1,0.24000000000000002,0,1
IC2,2.04,1,0.24000000000000002,0,1
