r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,yield_5y,33,-0.008544183795208146,-0.009057422548315461,-5.222193959285009e-4,-0.012443328010327307,0.002450044710574851,q=5
5,5,4,yield_5y,34,-0.00853391755548721,-0.008949427285777894,-5.803452295902294e-4,-0.012622076377633209,0.0024568247686195246,q=5
5,5,4,yield_5y,35,-0.008487363256531877,-0.008860524735169597,-4.920074170115145e-4,-0.012794067746073869,0.0023686531321532468,q=5
5,5,4,yield_5y,36,-0.008406887025086142,-0.008725173436262532,-4.680014275746044e-4,-0.012921975615771495,0.002241312554569199,q=5
5,5,4,yield_5y,37,-0.00829489243368454,-0.008672692164394815,-4.6880998151133666e-4,-0.012842671439771448,0.002138062106178537,q=5
5,5,4,yield_5y,38,-0.008153787778628985,-0.008640241393791766,-2.810618883784246e-4,-0.012671168940746803,0.0022314209808922516,q=5
5,5,4,yield_5y,39,-0.007986028702253192,-0.008630308697889801,-1.594388793592032e-4,-0.012480354066756367,0.00220069149297988,q=5
5,5,4,yield_5y,40,-0.007794079750856131,-0.008494401187986656,2.125753229165363e-5,-0.012254194743502944,0.0023151467985371168,q=5
5,5,4,yield_5y,41,-0.007580382194136083,-0.008255044340551224,2.61692544738434e-4,-0.012001066549338467,0.0022428695293998605,q=5
5,5,4,yield_5y,42,-0.0073473603872184524,-0.00806892753631483,3.518273364775629e-4,-0.011783971890889988,0.0023342913077553087,q=5
5,5,4,yield_5y,43,-0.007097407194247319,-0.007943696997187971,4.8428005957323016e-4,-0.011633130917642096,0.0025100970784374833,q=5
5,5,4,yield_5y,44,-0.006832863016847002,-0.007749483135700003,5.776425097469706e-4,-0.011457845350443929,0.0027933388797922493,q=5
5,5,4,yield_5y,45,-0.0065560102617754695,-0.007424215285091292,7.372360715750768e-4,-0.011310344988441592,0.0030206880260029143,q=5
5,5,4,yield_5y,46,-0.0062690649883173554,-0.0072436391052716365,7.989571045343593e-4,-0.010940974085521953,0.0031194303454543204,q=5
5,5,4,yield_5y,47,-0.005974164343465725,-0.007038797704537496,9.346449114016489e-4,-0.010640151408699233,0.003321190495332935,q=5
5,5,4,yield_5y,48,-0.005673359489329729,-0.00672633099837337,0.001037265120060114,-0.010528287377920833,0.0034304436973503103,q=5
5,5,4,cambio_usd,0,0.13424190947918324,0.10001200421508503,0.15914524297106228,0.08366321702189777,0.18606294110308216,q=5
5,5,4,cambio_usd,1,0.145890093174015,0.10023856866686501,0.18841666546324096,0.0750009120511068,0.22529163676984243,q=5
5,5,4,cambio_usd,2,0.11876638245030009,0.06752866012093872,0.16431107175264587,0.03780404867638107,0.2078032011255488,q=5
5,5,4,cambio_usd,3,0.13055293074032726,0.07088284247178417,0.1734149532167819,0.03415561186312244,0.22384242030349535,q=5
5,5,4,cambio_usd,4,0.11138824325081778,0.04779224225618381,0.16133499584292824,0.008272763762679818,0.20982587683476706,q=5
5,5,4,cambio_usd,5,0.07455083762075825,0.009460152487522983,0.1337892348352539,-0.03341190445498665,0.18268589019239417,q=5
5,5,4,cambio_usd,6,0.060655976434813165,-3.211694501639527e-4,0.1252007806511473,-0.05030750655069842,0.17267663906066058,q=5
5,5,4,cambio_usd,7,0.04122536715862925,-0.01844245754353648,0.11377571773562488,-0.06676922404360136,0.1604495208879267,q=5
5,5,4,cambio_usd,8,0.01663973673242739,-0.04152858881412494,0.09443974170738856,-0.08859527000640109,0.14064465829861006,q=5
5,5,4,cambio_usd,9,0.001675569328391697,-0.05554870465573198,0.08102136673514132,-0.10137426841461115,0.13082912993582818,q=5
5,5,4,cambio_usd,10,-0.01157571671698445,-0.06751842288084992,0.06945766933587023,-0.11064821708789707,0.11584524359843767,q=5
5,5,4,cambio_usd,11,-0.026540402392587745,-0.08029196749185749,0.05506316852191929,-0.12463302911956448,0.10174912202885521,q=5
5,5,4,cambio_usd,12,-0.03822151321083335,-0.09193062553520324,0.04644266039690128,-0.1386539787268721,0.09287302338195325,q=5
5,5,4,cambio_usd,13,-0.04787720865315929,-0.10153522759286308,0.038325469731276963,-0.14462968868017778,0.080608279410216,q=5
5,5,4,cambio_usd,14,-0.0575720448820978,-0.10998591467084869,0.027234245256285244,-0.15445629756071644,0.0715786514424719,q=5
5,5,4,cambio_usd,15,-0.06580994687075709,-0.11726920889117397,0.01888547217638004,-0.1638758154081063,0.06463363400109814,q=5
5,5,4,cambio_usd,16,-0.07246527910905556,-0.12507301320872874,0.012865981930563786,-0.17006871598610548,0.05925393697708268,q=5
5,5,4,cambio_usd,17,-0.0784248107017832,-0.1317931376492241,0.010529563680787685,-0.17769476626369513,0.05114517091555203,q=5
5,5,4,cambio_usd,18,-0.08340147905115375,-0.13584961613411262,0.006047387082501074,-0.18396783242294046,0.04620555536718608,q=5
5,5,4,cambio_usd,19,-0.08720643300962395,-0.13843465929203652,0.0013863589216514711,-0.18658565108267766,0.04193170050526891,q=5
