variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,yield_5y,7,0.007551098563131736,0.0020017418293111914,0.010515500614985754,-2.587559557219367e-4,0.01427116386308586
baseline,full,yield_5y,8,0.005365479647430167,-3.229164474364993e-4,0.007941142009413486,-0.0029666428070848853,0.011785728735154894
baseline,full,yield_5y,9,0.004257448759659309,-0.0013232874499698047,0.007395824693621945,-0.004380222824332986,0.010712412320537299
baseline,full,yield_5y,10,0.0027203036166992484,-0.0024818639279926536,0.00599543934775763,-0.005729733904402983,0.009268785445060856
baseline,full,yield_5y,11,3.3873916629880015e-4,-0.004335345748344212,0.004184248371695677,-0.007512114686970836,0.0073180613545606975
baseline,full,yield_5y,12,-3.10194476468909e-4,-0.005028951374674184,0.003932028622191367,-0.008449032929640684,0.007655366216638347
baseline,full,yield_5y,13,-0.0017799838325874007,-0.006079060356337275,0.0032564539214190854,-0.010135206410148102,0.006703418856625338
baseline,full,yield_5y,14,-0.003310553242012594,-0.007836620547911713,0.0018656892046855238,-0.012007173593126395,0.005032334003818431
baseline,full,yield_5y,15,-0.0036610348884574618,-0.007989088267587822,0.001653150392571413,-0.01201010235329033,0.005132710982570456
baseline,full,yield_5y,16,-0.004573508687418536,-0.008693658082721897,0.001136304420874564,-0.013359316999521899,0.004164044525505017
baseline,full,yield_5y,17,-0.0054295569972344845,-0.009601657564294212,5.078154290652944e-4,-0.01462658968311567,0.0036032317192565802
baseline,full,yield_5y,18,-0.005813323147031444,-0.010004739895729413,2.2857472840461763e-4,-0.014743057112616965,0.0034603854783197925
baseline,full,yield_5y,19,-0.006348535608533824,-0.010067373327349447,-3.2147511181549254e-5,-0.014976135011273824,0.0034444375931782616
baseline,full,yield_5y,20,-0.006799296447385088,-0.010668512639286868,-3.619612932568892e-4,-0.01575499621310426,0.0030864008003691663
baseline,full,yield_5y,21,-0.006898962156715772,-0.010900220909626925,-5.126622688537196e-4,-0.016558135210996174,0.0033703841950457358
baseline,full,yield_5y,22,-0.007024825081046258,-0.010865493632437932,-6.642840217252976e-4,-0.01763341717797682,0.0029301498729404417
baseline,full,yield_5y,23,-0.007187309356489895,-0.010854795811712293,-7.825917392962936e-4,-0.01874608944005621,0.002788448880703801
baseline,full,yield_5y,24,-0.007135317892391036,-0.01108826483894328,-7.033324085742598e-4,-0.019624320723352635,0.0028789918086462897
baseline,full,yield_5y,25,-0.007177438919501136,-0.011332637638947757,-7.447405855251364e-4,-0.019167768965570098,0.0026854935040711548
baseline,full,yield_5y,26,-0.007211847383370486,-0.011151620190187322,-5.802868050110311e-4,-0.01936777573269766,0.0026828593724325385
baseline,full,yield_5y,27,-0.00704846388527872,-0.011249528846993545,-4.2410174898011553e-4,-0.01977054913844194,0.0025898738431510606
baseline,full,yield_5y,28,-0.006961469162704025,-0.01119621400770728,-2.259097895680987e-4,-0.019396415359027135,0.0029742639875643185
baseline,full,yield_5y,29,-0.006844010030893025,-0.011066777401300519,-1.5779312224951667e-4,-0.019283991866948708,0.002873918468638839
baseline,full,yield_5y,30,-0.006612076675774116,-0.011104483623926773,-1.2060282382533737e-4,-0.019382330518824376,0.0027829385645699294
baseline,full,yield_5y,31,-0.006425246131627762,-0.011006794093554564,-3.365032230772754e-5,-0.01896840656959438,0.0029399809991216513
baseline,full,yield_5y,32,-0.006206999369542442,-0.010729041248981087,6.187262944606014e-5,-0.018503546240976186,0.0029538734272260316
baseline,full,yield_5y,33,-0.005925547948039039,-0.010427316433890495,2.2112399511230418e-4,-0.018214046021594175,0.00327596192218318
baseline,full,yield_5y,34,-0.005663296098446359,-0.010041597529460817,5.38111373190038e-4,-0.01826674477036065,0.0031511842869747283
baseline,full,yield_5y,35,-0.005382500358377731,-0.009587337476896687,5.844334424380834e-4,-0.01774972940723831,0.003241746386448979
baseline,full,yield_5y,36,-0.005064231113741733,-0.009353225228077694,7.764359147714901e-4,-0.01796509156898771,0.0034349308813463983
baseline,full,yield_5y,37,-0.004757109495396964,-0.009024631557698611,9.519199876557327e-4,-0.017220780010351797,0.0035848632347515795
baseline,full,yield_5y,38,-0.004439935936913266,-0.00870688284771581,0.001142505704616976,-0.01698245120046127,0.003654900617930302
baseline,full,yield_5y,39,-0.004099641616720936,-0.008224168477083214,0.0012565637857821885,-0.016773648978504547,0.004030377013571948
baseline,full,yield_5y,40,-0.0037743779289513084,-0.0077890060931357485,0.0015468912486992959,-0.016461103942880886,0.004173410378785922
baseline,full,yield_5y,41,-0.003447608649041084,-0.007416255590715095,0.0017217335891389273,-0.015203790506959036,0.004324266084265964
baseline,full,yield_5y,42,-0.00311082425660539,-0.007118294423303863,0.0020067737236339265,-0.013497198159744001,0.00456581882476256
baseline,full,yield_5y,43,-0.002791334661855388,-0.006755204116234537,0.002158182239261703,-0.012943389363348672,0.004988144121267379
baseline,full,yield_5y,44,-0.002476837703269875,-0.006175769504318526,0.0022979582396379155,-0.011862967281826536,0.005483234680172875
baseline,full,yield_5y,45,-0.002164444175292286,-0.005748361859426204,0.0023084310477310428,-0.011060516687873894,0.005536037266277115
baseline,full,yield_5y,46,-0.0018708284717736997,-0.005321659018027366,0.0024910023321388043,-0.01049733693078994,0.0059021557608775485
baseline,full,yield_5y,47,-0.001587276941315836,-0.004994105878250506,0.002741238251054892,-0.010057106106145412,0.00645067587518422
baseline,full,yield_5y,48,-0.0013130987326206455,-0.004722765468567403,0.0028435303723487984,-0.009435528152568498,0.00693880867916848
baseline,full,asset_ibov,0,-2.4071247096898034,-8.353352752390526,1.2764420805919878,-13.079490364379069,4.780245753807343
baseline,full,asset_ibov,1,-4.459079102646283,-12.32147650222804,0.9811835648262026,-18.56105138299849,6.908124630490981
baseline,full,asset_ibov,2,-1.6825737451032214,-9.856027382647211,6.330238168151818,-17.36318388241889,13.051573335228738
baseline,full,asset_ibov,3,-0.16115615458436386,-9.717679520487733,8.428984974483804,-16.187888114074333,17.631551479687886
baseline,full,asset_ibov,4,1.3680612905020462,-8.936147798714355,11.30537897827978,-16.072995339862004,22.068987738667776
