instrument,r,q,sample,cfg,var,esign,f_factor,wald_mp,h0,h6,h12,h24,peak_h,peak_val,sign_h0,sign_ok_h0,share_sign_ok,n_sig90
z_jk,7,6,pre_covid,r7q6·pre_covid,spread_icc_juridica,1,10.445599798577826,6.445181856962402,0.024183329638492023,-0.016727456454605508,-0.13470571486425684,-0.09552032200057524,11,-0.14633037215041383,1,TRUE,0.14634146341463414,0
z_jk,7,6,pre_covid,r7q6·pre_covid,spread_icc_fisica,1,10.445599798577826,6.445181856962402,0.08293472165582907,-0.15473008345470207,-0.4540130973395659,-0.3144099581651741,10,-0.5022509012523122,1,TRUE,0.14634146341463414,0
z_jk,7,6,pre_covid,r7q6·pre_covid,credit_outstanding,-1,10.445599798577826,6.445181856962402,0.08159065855781744,0.13781207127867567,1.175114590107551,0.89837358383366706,11,1.404355003848723,1,FALSE,0.12195121951219512,0
z_jk,7,6,pre_covid,r7q6·pre_covid,credito_pessoa_fisica,-1,10.445599798577826,6.445181856962402,-0.10713639822181875,-0.3232062653976686,0.6350152043586021,0.5409790069906606,31,0.8574189240617924,-1,TRUE,0.1951219512195122,0
z_jk,7,6,pre_covid,r7q6·pre_covid,price_ipca,-1,10.445599798577826,6.445181856962402,0.1025099037637174,-8.810354936487387e-4,-0.011121878430643946,0.029554040275785773,3,-0.5121155096871015,1,FALSE,0.3170731707317073,0
z_jk,7,6,pre_covid,r7q6·pre_covid,price_core_ipca_ex0,-1,10.445599798577826,6.445181856962402,0.13784152370467712,-0.019347131309726255,-0.03760965781452826,0.012921702889022977,2,0.19338288842463316,1,FALSE,0.36585365853658536,0
z_jk,7,6,pre_covid,r7q6·pre_covid,cds_5y,-1,10.445599798577826,6.445181856962402,4570.752710943071,87.32495131704583,-32.21820554417836,294.5932014235041,1,4969.004262212128,1,FALSE,0.3902439024390244,0
z_jk,8,8,full,r8q8·full,asset_ibov,-1,10.249984438713552,5.746070269025472,-0.07684940560270186,0.007712309276749799,0.01629277589422431,-0.0037064514811320955,0,-0.07684940560270186,-1,TRUE,0.43902439024390244,1
z_jk,8,8,full,r8q8·full,cambio_usd,-1,10.249984438713552,5.746070269025472,0.2255960332256183,0.20565020515256585,0.030446900574454216,-0.05527932803704646,1,0.32537344334485263,1,FALSE,0.43902439024390244,7
z_jk,8,8,full,r8q8·full,yield_6m,1,10.249984438713552,5.746070269025472,0.005,0.003067634564247019,-7.629608759075234e-4,-0.004390021820240331,1,0.00596393274200196,1,TRUE,0.2682926829268293,3
