sample,r,q,p,instrument,mp_var,response_var,theory_sign,tier,score_h,h0,h6,h12,h24,peak_h,peak_val,sign_at_score_h,consistent,mechanical
pre_covid,5,4,6,z_het,yield_6m,vendas_varejo,-1,ext,24,-0.8282962228478106,-0.8123827876718284,-0.43866947703946163,-2.3265646441064045,24,-2.3265646441064045,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_6m,cambio_usd,-1,soft,0,-0.40851109800181823,-0.3374262759837554,0.007608019071397993,-0.019600912062240322,0,-0.40851109800181823,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_6m,cds_5y,-1,soft,0,-6145.168736943113,-7016.565908299621,1284.3488902682784,2970.454255806661,7,-7814.110162731651,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_6m,embi_perc,-1,soft,0,-0.46340999816313044,-0.5418517036616711,0.1485364513010873,0.34691355514498384,7,-0.6376851698049021,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_1y,yield_6m,1,hard,0,0.01736294858650952,-0.010997955676172589,0.013547699909344152,0.026623280843825696,19,0.03257906240497096,1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_1y,yield_2y,1,hard,0,-0.015300166212683167,-0.03976449893513453,0.013165898671926246,0.022805697815642647,7,-0.04066325128993902,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_1y,yield_5y,1,hard,0,-0.040645558503495355,-0.05818928432072671,0.00959140326770359,0.016883948254726028,4,-0.061918279231472875,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_1y,asset_ibov,-1,hard,0,0.02032959408570198,0.2618234214804368,-0.013767482978802106,-0.15118304808657093,7,0.31648165316391447,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_1y,price_ipca,-1,ext,24,-5.20592098177123,-0.33426721621312683,-0.23363207250254975,0.1774602369803973,0,-5.20592098177123,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_1y,pib,-1,ext,24,4.579826776793561,1.385228107951031,0.8384131922765325,0.2512050249602549,0,4.579826776793561,1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_1y,vendas_varejo,-1,ext,24,-2.876332946341313,-2.821072114982247,-1.5233191152614378,-8.079204459762064,24,-8.079204459762064,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_1y,cambio_usd,-1,soft,0,-1.4185914383248244,-1.1717430163286633,0.02641952879637345,-0.06806592567707459,0,-1.4185914383248244,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_1y,cds_5y,-1,soft,0,-21339.649766993778,-24365.654623932354,4460.016749773735,10315.168904429891,7,-27135.198600966236,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_1y,embi_perc,-1,soft,0,-1.6092327945161808,-1.8816286544380372,0.5158061534326707,1.2046884443891177,7,-2.214418963540421,-1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_2y,yield_6m,1,hard,0,-0.005674104563686503,0.0035940641177661732,-0.004427304815196616,-0.008700324059798828,19,-0.01064663675939819,-1,FALSE,FALSE
pre_covid,5,4,6,z_het,yield_2y,yield_2y,1,hard,0,0.005,0.0129947931226301,-0.004302534524432909,-0.0074527614597865366,7,0.013288499851796046,1,TRUE,TRUE
pre_covid,5,4,6,z_het,yield_2y,yield_5y,1,hard,0,0.013282717958253934,0.01901589940653401,-0.0031344114614103792,-0.005517570208070672,4,0.02023451195587187,1,TRUE,FALSE
pre_covid,5,4,6,z_het,yield_2y,asset_ibov,-1,hard,0,-0.006643586024852998,-0.08556228012196254,0.004499128567436564,0.04940568814254019,7,-0.10342425329391684,-1,TRUE,FALSE
