tag,instrument,r,q,sample,var,theory_sign,h0,share_correct,verdict
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,credit_outstanding,-1,0.13418012049248862,0.3548387096774194,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,credito_pessoa_fisica,-1,0.07047283050478637,0.0967741935483871,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,spread_icc_juridica,1,0.010675502775068894,0.46153846153846156,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,spread_icc_fisica,1,-0.005404384034986721,0.15384615384615385,incoerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,ibc_br,-1,-0.6009050134048497,0.6363636363636364,parcial
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,trab_tx_desemprego,1,-0.05083256859563,0.6774193548387096,parcial
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,price_ipca,-1,-0.13435536950590604,0.8378378378378378,coerente
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,price_core_ipca_ex0,-1,0.03973030130650544,0.7297297297297297,parcial
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,asset_ibov,-1,-0.016076556009172342,0.2857142857142857,incoerente
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,cambio_usd,-1,0.1165304079783035,0,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,embi_perc,-1,0.1686256423735797,0,soft_risco_abre_fiscal_dom
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,credit_outstanding,-1,0.09485925615626556,0.7741935483870968,parcial
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,credito_pessoa_fisica,-1,0.052664320384598895,0.7419354838709677,parcial
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,spread_icc_juridica,1,-0.010528317229102968,0.7692307692307693,parcial
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,spread_icc_fisica,1,-0.007355038014712528,0.8461538461538461,coerente_forte
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,ibc_br,-1,-0.39948547340957546,1,coerente
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,trab_tx_desemprego,1,-0.045997713442672866,0.6774193548387096,parcial
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,price_ipca,-1,-0.09246050220148268,0.4864864864864865,incoerente
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,price_core_ipca_ex0,-1,0.01644814305083361,0.4594594594594595,incoerente
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,asset_ibov,-1,0.04783506741519805,0.14285714285714285,incoerente
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,cambio_usd,-1,0.016677662909660287,0.8571428571428571,soft_depreciacao_fiscal_dom
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,embi_perc,-1,0.12453937618838641,0.8571428571428571,soft_risco_abre_fiscal_dom
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,credit_outstanding,-1,-0.16273722109585442,0.6451612903225806,parcial
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,credito_pessoa_fisica,-1,0.18484785044579066,0.4838709677419355,incoerente
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,spread_icc_juridica,1,0.023165332907173073,0.23076923076923078,incoerente
