var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
price_core_ipca_ex0,25,-0.029391764835705297,-0.08594065188866984,0.004867848638612396,-0.13645281623593195,0.03515518835788625,-1,FALSE,FALSE
price_core_ipca_ex0,26,-0.027131179343958096,-0.08225199327108912,0.006491934722000281,-0.13525399881074712,0.03570600120094589,-1,FALSE,FALSE
price_core_ipca_ex0,27,-0.02439285026862094,-0.0817160299063866,0.010107735734306829,-0.13334013714229767,0.03842075156544773,-1,FALSE,FALSE
price_core_ipca_ex0,28,-0.021552788585580837,-0.07886386177718663,0.015015088319589073,-0.13130918980591702,0.04018247423560958,-1,FALSE,FALSE
price_core_ipca_ex0,29,-0.018758924651867057,-0.07417062809669517,0.017331760763812976,-0.12712251860386986,0.042303300625984946,-1,FALSE,FALSE
price_core_ipca_ex0,30,-0.015579784345529804,-0.06932004455436089,0.02109301571781401,-0.12340667126621549,0.04646854463230637,-1,FALSE,FALSE
price_core_ipca_ex0,31,-0.012284778340868649,-0.06415648349408126,0.023777162671017055,-0.11574659766119347,0.04929019275471254,-1,FALSE,FALSE
price_core_ipca_ex0,32,-0.009061680323273957,-0.058471260742026666,0.026420769248256044,-0.11189293362589312,0.05447735388094255,-1,FALSE,FALSE
price_core_ipca_ex0,33,-0.005651040247929007,-0.052569684601585405,0.029649735569572434,-0.10894693234964752,0.059519928097243914,-1,FALSE,FALSE
price_core_ipca_ex0,34,-0.00220143514186416,-0.046069643807708546,0.03238014984152819,-0.09957189273277753,0.06256090890578905,-1,FALSE,FALSE
price_core_ipca_ex0,35,0.0011154384206162632,-0.04106110839019406,0.035800407660033756,-0.0914664171590624,0.06386556963194054,1,FALSE,FALSE
price_core_ipca_ex0,36,0.004424881216890803,-0.03640230249085241,0.03789457315344595,-0.08003433515227111,0.06760218664463868,1,FALSE,FALSE
price_core_ipca_ex0,37,0.0076703384410868125,-0.03019470709346589,0.040934027359868945,-0.06823452359712529,0.07193973626415269,1,FALSE,FALSE
price_core_ipca_ex0,38,0.010731797798831799,-0.02526001398602827,0.04654503499271235,-0.06201783324010361,0.07514847106264196,1,FALSE,FALSE
price_core_ipca_ex0,39,0.01365139796506804,-0.019601964610286324,0.04929385919456371,-0.05192502140425998,0.07678282056849062,1,FALSE,FALSE
price_core_ipca_ex0,40,0.016415033875480108,-0.015073771622115574,0.05207238465425052,-0.04357831748828475,0.08085599939302779,1,FALSE,FALSE
price_core_ipca_ex0,41,0.018949462172488055,-0.009875425134770674,0.05482683916933763,-0.03727837512924034,0.08452746214602531,1,FALSE,FALSE
price_core_ipca_ex0,42,0.021252485574404636,-0.0059651787057862045,0.05813873787174399,-0.030197362779735254,0.08797787788576612,1,FALSE,FALSE
price_core_ipca_ex0,43,0.0233217953205565,-0.0038901538671033643,0.06056354451831363,-0.025691335157881974,0.09228399826495041,1,FALSE,FALSE
price_core_ipca_ex0,44,0.025119348081965906,-9.408488791415302e-4,0.06387854936517189,-0.023067238997330045,0.0969076280427478,1,FALSE,FALSE
price_core_ipca_ex0,45,0.026629668301277755,1.731031979562086e-4,0.0668152264763306,-0.022249441854325695,0.1021534583499496,1,TRUE,FALSE
price_core_ipca_ex0,46,0.027853973008795517,8.092417184372082e-4,0.07100637491720355,-0.02239188885704619,0.10714578123025419,1,TRUE,FALSE
price_core_ipca_ex0,47,0.028779482655725025,0.001191400336849141,0.07430126116323836,-0.022818630197154417,0.11432716987508187,1,TRUE,FALSE
price_core_ipca_ex0,48,0.029395111293336922,3.3320114940445206e-4,0.07654633916644658,-0.022253398498137452,0.11758278506609686,1,TRUE,FALSE
price_core_ipca_ex1,0,-0.03404673769730306,-0.09885061841237654,0.06539915088487834,-0.15689991816720897,0.11395579849884396,-1,FALSE,FALSE
price_core_ipca_ex1,1,0.05162773489326398,-0.025448662711065752,0.10711006337971621,-0.07283705820655098,0.15623166491395485,1,FALSE,FALSE
price_core_ipca_ex1,2,0.01343223547427437,-0.06061759481531896,0.05074343702734582,-0.09759905287196599,0.09256497705557319,1,FALSE,FALSE
price_core_ipca_ex1,3,-0.030338397346933933,-0.10781765113955906,0.029264010924196362,-0.163595091125372,0.07426580553726193,-1,FALSE,FALSE
price_core_ipca_ex1,4,0.0037159689159748832,-0.08163574031108908,0.04769174816048806,-0.12244238859931536,0.09485789444414852,1,FALSE,FALSE
price_core_ipca_ex1,5,-0.013830580325260447,-0.10050668522150022,0.016878955608473144,-0.14107364133354428,0.05861159239706416,-1,FALSE,FALSE
price_core_ipca_ex1,6,-0.0470709151556787,-0.12691700157587077,-0.002870358279431932,-0.1699348409228374,0.0326767413733321,-1,TRUE,FALSE
price_core_ipca_ex1,7,-0.05019545527480233,-0.12973689575521796,-0.0064515106039388466,-0.1695638825830439,0.03458095553611496,-1,TRUE,FALSE
price_core_ipca_ex1,8,-0.06638859708254763,-0.13552265104296388,-0.023719277744483083,-0.18280007940256815,0.008394182433078478,-1,TRUE,FALSE
price_core_ipca_ex1,9,-0.08863075841700935,-0.14617698874793122,-0.042551297573435,-0.20197890217726824,-0.004564339125183524,-1,TRUE,TRUE
price_core_ipca_ex1,10,-0.08543114705171473,-0.14701031198516257,-0.03596090306158374,-0.1981922507240212,-0.0021521170296158066,-1,TRUE,TRUE
price_core_ipca_ex1,11,-0.07983186379814972,-0.140042149862572,-0.03640616593257158,-0.18993875875211166,-0.005895475619731678,-1,TRUE,TRUE
price_core_ipca_ex1,12,-0.07854220549217344,-0.13970046479042597,-0.03641033742120561,-0.19320899028497535,-0.007572502082549602,-1,TRUE,TRUE
