tag,r,q,sample,mp_var,f_factor,wald_mp,dfm_max_eig,mp_impact,var,theory_sign,h0,sig90_h0,h_first_signflip,extreme_h,extreme_val,n_reversals,share_correct,verdict
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,yield_10y,1,-1.6830635515749538e-4,FALSE,8,40,-0.01526827249778052,12,0,incoerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,price_ipca,-1,-0.35628808195819067,FALSE,4,33,-0.4521499274700293,14,0.8648648648648649,coerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,price_core_ipca_ex0,-1,-0.08618480517757898,FALSE,2,1,-0.2261280550039828,23,0.7837837837837838,parcial
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,price_core_ipca_ex1,-1,-0.27801619978421505,FALSE,5,3,-0.3081882983302638,16,0.918918918918919,coerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,price_core_ipca_dw,-1,-0.20171748547785623,FALSE,5,0,-0.20171748547785623,16,0.8918918918918919,coerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,pib,-1,0.796299078945184,FALSE,5,39,-1.5296045929007684,13,0.36363636363636365,incoerente
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,ibc_br,-1,-0.13083086759984777,FALSE,1,28,-2.1205271274166506,10,0.7727272727272727,parcial
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,cambio_usd,-1,0.05599920374946014,FALSE,2,3,-0.29252380517742493,10,0.7142857142857143,soft_depreciacao_fiscal_dom
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,cds_5y,-1,1462.9853734417095,FALSE,1,3,-5086.664072093463,12,0.8571428571428571,soft_risco_abre_fiscal_dom
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,embi_perc,-1,0.17028572453085414,FALSE,1,40,-0.5534026642080874,12,0.8571428571428571,soft_risco_abre_fiscal_dom
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_3m,1,0.0019091855595636648,TRUE,14,40,-0.004131423030314654,3,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_6m,NA,0.0029599441296333136,TRUE,14,40,-0.004249854803501466,1,NA,NA
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_1y,1,0.004106941000950927,TRUE,14,3,0.004859490714035472,4,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_2y,1,0.005,TRUE,14,1,0.005676603586269488,4,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_5y,1,0.0051822162920594,TRUE,14,1,0.005686279544293544,4,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_10y,1,0.004631499555087986,TRUE,14,1,0.005018265186538533,4,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_ipca,-1,0.057979296282217145,FALSE,12,15,-0.019381378255485804,13,0.5945945945945946,parcial
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_ex0,-1,0.050184993011084644,FALSE,NA,40,0.02406373904451929,10,0,incoerente
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_ex1,-1,0.021241122465019215,FALSE,12,22,-0.01902717689944832,17,0.8648648648648649,coerente
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_dw,-1,0.035968961145414466,FALSE,14,18,-0.0036664576568309986,11,0.4864864864864865,incoerente
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,pib,-1,-0.007499560371915237,FALSE,1,40,-0.3374336617348539,5,0.7727272727272727,parcial
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,ibc_br,-1,-0.32986535964316127,TRUE,2,11,-0.3327467671237328,8,1,coerente_forte
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,cambio_usd,-1,0.10961713764373776,TRUE,14,24,-0.030185279317377026,2,0,soft_depreciacao_fiscal_dom
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,cds_5y,-1,2013.4037694621552,TRUE,14,30,-978.0654550652164,4,0,soft_risco_abre_fiscal_dom
r6q5_full_yield_2y,6,5,full,yield_2y,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,embi_perc,-1,0.14827352694571524,TRUE,14,29,-0.09908325369625015,3,0,soft_risco_abre_fiscal_dom
