tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,17,-0.0019459944345384145,-0.006214569481154832,0.0042868444550893114,-0.01149350003598959,0.007664003067738931,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,18,-0.002349208316574149,-0.00680602611083822,0.004069452191145843,-0.012137188741868523,0.008079683034603324,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,19,-0.002666951859035565,-0.007430608551212395,0.003993548428482824,-0.012603343534750592,0.008216530571797566,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,20,-0.0029889784002792527,-0.007925195260111383,0.0037166814039681834,-0.013301076941835724,0.008063831286002743,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,21,-0.00328326890786371,-0.008485542053125126,0.0034839332891604224,-0.013440359198242971,0.007855146266563268,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,22,-0.0035312140022142682,-0.008679958817652697,0.0033861465721710116,-0.014673714262952999,0.007953294633254655,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,23,-0.003789896603750294,-0.008860694021047754,0.0031760697830590405,-0.015356335295481631,0.007872837797823615,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,24,-0.004051087726794999,-0.009383756235612866,0.002958431004852249,-0.01615994682305289,0.007462382063116725,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,25,-0.004302939774971181,-0.009938867122181427,0.0028409334234873436,-0.0170155196497554,0.007269626956436796,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,26,-0.004560579926010906,-0.010183517523127803,0.002569318645794263,-0.01715530544156235,0.006892001478491384,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,27,-0.00482243708245591,-0.010561790627130002,0.0022091033065402355,-0.0177309321189984,0.006645278738894345,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,28,-0.00508601230303517,-0.01097921821875669,0.001746051768467722,-0.018338522084746553,0.006432313659730218,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,29,-0.005349572215676396,-0.011371849719562696,0.001486180513266415,-0.018666860525374175,0.006101416895190986,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,30,-0.00561099655057691,-0.011835192031521714,0.0012115302953142485,-0.019154918202794295,0.005574114056462123,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,31,-0.0058663964255291495,-0.012288336043796942,8.498980368188243e-4,-0.019679644549084073,0.005035722703381337,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,32,-0.006108468231788586,-0.012518175272085406,7.281396294914245e-4,-0.02023262574184474,0.004636817500182556,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,33,-0.006335672446607055,-0.012626439893782943,5.894652820576699e-4,-0.0206605107686399,0.004404417094091918,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,34,-0.006543681201833271,-0.012874053212207123,6.663565757054671e-4,-0.020909658838271405,0.003957902967496931,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,35,-0.006726265990640353,-0.013123601105189328,5.187702076344231e-4,-0.021082460357012098,0.0035360271258632154,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,36,-0.006881968698585121,-0.013385462147641244,3.091692200155521e-4,-0.021259171718571765,0.003323081935431327,-1,FALSE,FALSE
