var,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90,sign,sig68,sig90
yield_1y,17,-0.0011207568722400075,-0.0070024255658487685,0.0036576775509354243,-0.01442459726881067,0.0076189699680481145,interval,interval,-1,FALSE,FALSE
yield_1y,18,-0.002034970469481382,-0.008011662044624928,0.002846978839703587,-0.015517206113095774,0.0069182832972969465,interval,interval,-1,FALSE,FALSE
yield_1y,19,-0.002913568739909797,-0.008990822133197346,0.0020656848411078673,-0.016601705865008382,0.006232109940702382,interval,interval,-1,FALSE,FALSE
yield_1y,20,-0.0037551538719758043,-0.009940498749365086,0.0013189207257807874,-0.017678127354013095,0.005570460840583377,interval,interval,-1,FALSE,FALSE
yield_1y,21,-0.004554822286614697,-0.01085705618267166,6.124430146796887e-4,-0.018744624233526845,0.004939580244109824,interval,interval,-1,FALSE,FALSE
yield_1y,22,-0.005306901060496333,-0.011734479346506612,-4.7796474293685646e-5,-0.019794002575412466,0.004346189404929018,interval,interval,-1,TRUE,FALSE
yield_1y,23,-0.00600950197458385,-0.012569814368366367,-6.593327274414136e-4,-0.020820045886150964,0.0037946431251941787,interval,interval,-1,TRUE,FALSE
yield_1y,24,-0.006660699140544464,-0.013359925002503322,-0.0012205995762191429,-0.021817326322271315,0.0032868844516972095,interval,interval,-1,TRUE,FALSE
yield_1y,25,-0.007258097153444493,-0.014100449778856855,-0.0017302436202321122,-0.022778344049008463,0.002824027226151471,interval,interval,-1,TRUE,FALSE
yield_1y,26,-0.00780078308126127,-0.014787991036747274,-0.0021884026227921463,-0.023695327732907504,0.002406058618390833,interval,interval,-1,TRUE,FALSE
yield_1y,27,-0.00828841653496449,-0.015419897522997385,-0.00259585271163989,-0.024561742862208774,0.002032065945946744,interval,interval,-1,TRUE,FALSE
yield_1y,28,-0.00872062573270002,-0.015993496771237483,-0.002953455424448013,-0.025371203125771857,0.0017008221826398438,interval,interval,-1,TRUE,FALSE
yield_1y,29,-0.009097658254891948,-0.01650669418204743,-0.003262568779293176,-0.02611760065001479,0.0014108200487544854,interval,interval,-1,TRUE,FALSE
yield_1y,30,-0.009420253173994067,-0.016958221299894327,-0.0035247898078510295,-0.026796074312244424,0.001160476077451477,interval,interval,-1,TRUE,FALSE
yield_1y,31,-0.009689305166502012,-0.017347308350943936,-0.0037416617239035745,-0.027402766187031153,9.483458533084341e-4,interval,interval,-1,TRUE,FALSE
yield_1y,32,-0.009906024339100275,-0.01767373254580085,-0.003914813780954653,-0.027934569627145647,7.730964270899141e-4,interval,interval,-1,TRUE,FALSE
yield_1y,33,-0.010071950908014545,-0.017937951967303915,-0.004045917424067455,-0.028389468709259215,6.335653639071727e-4,interval,interval,-1,TRUE,FALSE
yield_1y,34,-0.010188805970333455,-0.01814097700556739,-0.004136566830539011,-0.028766506223433904,5.288185469189933e-4,interval,interval,-1,TRUE,FALSE
yield_1y,35,-0.010258501767876996,-0.018284286296618223,-0.0041883360340134335,-0.029065539332224697,4.5808167278193384e-4,interval,interval,-1,TRUE,FALSE
yield_1y,36,-0.0102831543425588,-0.01836983594050368,-0.0042028010170362395,-0.029287256885922118,4.207074342455678e-4,interval,interval,-1,TRUE,FALSE
yield_1y,37,-0.010265019574897815,-0.01839998911773405,-0.00418150785041285,-0.029433145084928898,4.1616287162493936e-4,interval,interval,-1,TRUE,FALSE
yield_1y,38,-0.010206469859920846,-0.018377424388451396,-0.004126003170086934,-0.029505311680493407,4.439605220807221e-4,interval,interval,-1,TRUE,FALSE
yield_1y,39,-0.010109990008582887,-0.018305089737134187,-0.004037866401964379,-0.029506395836850278,5.035993703987839e-4,interval,interval,-1,TRUE,FALSE
yield_1y,40,-0.009978145473286742,-0.018186145339741156,-0.003918712242613799,-0.029439505169410574,5.945290434917488e-4,interval,interval,-1,TRUE,FALSE
yield_1y,41,-0.009813557313779293,-0.018023890095211267,-0.0037702092900999485,-0.029308093923171883,7.160977884138707e-4,interval,interval,-1,TRUE,FALSE
yield_1y,42,-0.009618889345349975,-0.017821706338100287,-0.0035941034287142255,-0.029115862941034697,8.675037898541292e-4,interval,interval,-1,TRUE,FALSE
yield_1y,43,-0.009396827755551153,-0.01758301147518452,-0.003392225961604895,-0.028866690708984958,0.001047764765285783,interval,interval,-1,TRUE,FALSE
yield_1y,44,-0.009150060614696101,-0.01731120613830786,-0.0031665013766113987,-0.028564551462380454,0.0012556898846257604,interval,interval,-1,TRUE,FALSE
yield_1y,45,-0.008881263232609536,-0.01700963116807392,-0.0029189557019970768,-0.028213440541233373,0.0014898566447323293,interval,interval,-1,TRUE,FALSE
yield_1y,46,-0.008593082729495329,-0.016681534149257334,-0.0026517161842967477,-0.02781732185730827,0.001748601309963591,interval,interval,-1,TRUE,FALSE
yield_1y,47,-0.008288122337323648,-0.016330039757013436,-0.002367005984410716,-0.027380080685420593,0.0020300178304762414,interval,interval,-1,TRUE,FALSE
yield_1y,48,-0.007968928481898865,-0.01595812676142602,-0.002067136416958276,-0.026905483168311334,0.0023319635381237468,interval,interval,-1,TRUE,FALSE
yield_2y,0,0.00702636423396999,0.006246298604352081,0.007939151887453434,0.005562776842322891,0.009039026653991618,interval,interval,1,TRUE,TRUE
yield_2y,1,0.008455433043610336,0.007016086498398496,0.009881626034944498,0.005513918986785347,0.011342530450068911,interval,interval,1,TRUE,TRUE
yield_2y,2,0.008551113362313725,0.006679523926306075,0.010115218040754576,0.004377403919822478,0.011452749059480091,interval,interval,1,TRUE,TRUE
yield_2y,3,0.009738183936670895,0.007282163812981432,0.01153024938289464,0.003882067777967092,0.012847499506059946,interval,interval,1,TRUE,TRUE
yield_2y,4,0.009615782654876755,0.006387236015258941,0.011912137104404039,0.0018232610404579133,0.013551796974447158,interval,interval,1,TRUE,TRUE
yield_2y,5,0.008793592810885476,0.004983555456143404,0.011469249263250976,-4.579854597370612e-4,0.013352202966502505,interval,interval,1,TRUE,FALSE
yield_2y,6,0.008370166452451705,0.004143328707166076,0.011290217702587705,-0.001972864580602671,0.013306982216888016,interval,interval,1,TRUE,FALSE
yield_2y,7,0.0076651696711005825,0.003105291746818424,0.010839328910211898,-0.003453155304419758,0.013050734519709608,interval,interval,1,TRUE,FALSE
yield_2y,8,0.006676862895879738,0.0018712717229981575,0.010077929255684124,-0.0049494749452335144,0.012492639089934136,interval,interval,1,TRUE,FALSE
yield_2y,9,0.005799941927766334,8.07694982962287e-4,0.009377650564041214,-0.006206367538890453,0.01195426361371076,interval,interval,1,TRUE,FALSE
yield_2y,10,0.0048956662308196,-2.585291242588864e-4,0.008661203489395893,-0.007386566255890788,0.011432978157005948,interval,interval,1,FALSE,FALSE
yield_2y,11,0.0038688318294132873,-0.0014330856426596713,0.007828159280556784,-0.008632394416856691,0.010815722537641126,interval,interval,1,FALSE,FALSE
yield_2y,12,0.002859295258670481,-0.002570000767347202,0.00698379995330299,-0.00983596786538706,0.010156597166969256,interval,interval,1,FALSE,FALSE
yield_2y,13,0.001867642160723098,-0.0036740338682872587,0.006144939356820808,-0.01098990800224158,0.00949441883683201,interval,interval,1,FALSE,FALSE
yield_2y,14,8.458020607541746e-4,-0.0048061851062420275,0.005273966997316797,-0.012171386578369052,0.008800001104559705,interval,interval,1,FALSE,FALSE
yield_2y,15,-1.59785091474292e-4,-0.0059183878664783845,0.004402768649874039,-0.01334909839948284,0.008081437176593334,interval,interval,-1,FALSE,FALSE
yield_2y,16,-0.0011291055728245647,-0.006991187161036794,0.0035550852661189888,-0.014498825177777612,0.007367644364094722,interval,interval,-1,FALSE,FALSE
yield_2y,17,-0.002077442972318263,-0.00804635931905364,0.002724450515859921,-0.015645074378278997,0.006662179558301438,interval,interval,-1,FALSE,FALSE
