r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,cambio_usd,32,0.025318720472090498,-0.07204015249981392,0.07243043286477928,-0.13145208755897533,0.13294276914599062,1,FALSE,FALSE
8,4,cambio_usd,33,0.030157184152923917,-0.06860623826637333,0.07762462712053893,-0.12481922582298392,0.13736231282921443,1,FALSE,FALSE
8,4,cambio_usd,34,0.03413958581292048,-0.06174010881538523,0.08357528930835464,-0.11834294494967575,0.14707562294913326,1,FALSE,FALSE
8,4,cambio_usd,35,0.03747383554637576,-0.058763059546710204,0.08774357720856375,-0.11364930430568539,0.15127081665367587,1,FALSE,FALSE
8,4,cambio_usd,36,0.040217115403847925,-0.05349444397074559,0.08979746365024346,-0.11233069241897718,0.16330200328038366,1,FALSE,FALSE
8,4,cambio_usd,37,0.04232575428281631,-0.04863195458176847,0.09250310683669324,-0.1077881276266091,0.1690555614303058,1,FALSE,FALSE
8,4,cambio_usd,38,0.043900155811292384,-0.04140590718085177,0.09423458505613269,-0.09847378188230951,0.1650539563323143,1,FALSE,FALSE
8,4,cambio_usd,39,0.04488053190729629,-0.03331619007760892,0.09620150115986491,-0.08884634940392522,0.17306283489748564,1,FALSE,FALSE
8,4,cambio_usd,40,0.045289856650068086,-0.03074693475388153,0.09948783563389929,-0.08027861697598243,0.17467708687858977,1,FALSE,FALSE
8,4,embi_perc,0,0.21408298923418798,0.1528398794896402,0.4265157664901723,0.09086574059490674,0.5978155758852739,1,TRUE,TRUE
8,4,embi_perc,1,0.24394259212789912,0.15780434721396905,0.47586979130758966,0.07665117804165843,0.6641744341866689,1,TRUE,TRUE
8,4,embi_perc,2,0.13233032299951003,0.037663810516623396,0.31548350356446253,-0.03249324444830762,0.4896332799440313,1,TRUE,FALSE
8,4,embi_perc,3,0.16306491556601405,0.06603052725918908,0.3306943448877979,-0.006381551851635124,0.4638519233132482,1,TRUE,FALSE
8,4,embi_perc,4,0.16467679024270568,0.04959816633984339,0.3141585510061014,-0.012871879457455505,0.43882095640877067,1,TRUE,FALSE
8,4,embi_perc,5,0.1290425427349883,0.0071335875435042904,0.25492543746825136,-0.06640161907583775,0.36971443585722524,1,TRUE,FALSE
8,4,embi_perc,6,0.12435418003606158,0.003233256363974881,0.25899608234765714,-0.07506452349675302,0.369132044912048,1,TRUE,FALSE
8,4,embi_perc,7,0.08060180965332554,-0.029201582827192,0.21811420276975457,-0.10098099962112173,0.32111664200119905,1,FALSE,FALSE
8,4,embi_perc,8,0.048491662019451,-0.060556631442355235,0.17196620870028168,-0.13933877379769616,0.26375320135974617,1,FALSE,FALSE
8,4,embi_perc,9,0.03662140496009903,-0.07777904375161335,0.15418605323593845,-0.14859713315241738,0.25000766062609486,1,FALSE,FALSE
8,4,embi_perc,10,0.008192384054861074,-0.09565844462796982,0.1264253209698477,-0.18897423261408097,0.22897465281397836,1,FALSE,FALSE
8,4,embi_perc,11,-0.004750372044154892,-0.10946625504007564,0.11263191324173169,-0.20599144547668394,0.21509755620500629,-1,FALSE,FALSE
8,4,embi_perc,12,-0.028253895758768712,-0.12843258415720252,0.08997641657300395,-0.2352734149797713,0.1860311701572453,-1,FALSE,FALSE
8,4,embi_perc,13,-0.06538937612569014,-0.15886315606100948,0.062190759320547025,-0.2686017059806123,0.15915181601098397,-1,FALSE,FALSE
8,4,embi_perc,14,-0.08591729609099118,-0.17926184818952176,0.047267308643861576,-0.29066454963163246,0.13176249547627247,-1,FALSE,FALSE
8,4,embi_perc,15,-0.10158618326128384,-0.19557069825653275,0.03259516182160839,-0.3001932179813549,0.11501250995195814,-1,FALSE,FALSE
8,4,embi_perc,16,-0.12021571261553984,-0.2090617109811772,0.018492737007218426,-0.31401503348578785,0.09749073524661679,-1,FALSE,FALSE
8,4,embi_perc,17,-0.12866064906802932,-0.21673976822301166,0.008511399432777752,-0.33167796419077633,0.08542363740102984,-1,FALSE,FALSE
8,4,embi_perc,18,-0.14036220913037556,-0.22716383287820366,-0.0026905608214596484,-0.35068876460084875,0.07428735332761205,-1,TRUE,FALSE
8,4,embi_perc,19,-0.1490706885174905,-0.24263691665455944,-0.006874929177670049,-0.3710008186832775,0.066438168432955,-1,TRUE,FALSE
8,4,embi_perc,20,-0.14816773543157388,-0.24621276379622437,-0.0048585311209621415,-0.36460258206679097,0.06712993429216785,-1,TRUE,FALSE
8,4,embi_perc,21,-0.15050034146820623,-0.2517063803610984,-0.009091315075682414,-0.3718378878987935,0.06432546617808214,-1,TRUE,FALSE
8,4,embi_perc,22,-0.14953600628567804,-0.2576781097961001,-0.01197371343743214,-0.3767791496098811,0.06578291905446751,-1,TRUE,FALSE
8,4,embi_perc,23,-0.14350094550837608,-0.25746491551083617,-0.011443744580101091,-0.37039981312450077,0.06408752892176317,-1,TRUE,FALSE
