tag,instrument,r,q,sample,var,maturity,h0
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_3m,0.25,0.0027945035451883995
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_6m,0.5,0.005
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_1y,1,0.007294425651697538
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_2y,2,0.009087791506969698
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_5y,5,0.009234232665726972
z_het_jk_3var_r7q6_full,z_het_jk_3var,7,6,full,yield_10y,10,0.00801449486037889
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_3m,0.25,0.00356907229880968
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_6m,0.5,0.005
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_1y,1,0.006564611607996957
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_2y,2,0.00745425776301272
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_5y,5,0.0058505922646951624
z_het_jk_3var_r7q6_pre_covid,z_het_jk_3var,7,6,pre_covid,yield_10y,10,0.004663403638040909
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_3m,0.25,0.003760869848198634
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_6m,0.5,0.005
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_1y,1,0.00606819246462361
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_2y,2,0.0066580954687275665
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_5y,5,0.006289010836486711
z_het_jk_3var_r8q8_full,z_het_jk_3var,8,8,full,yield_10y,10,0.005407966082697195
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_3m,0.25,0.004339402179127478
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_6m,0.5,0.005
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_1y,1,0.005267388240590872
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_2y,2,0.004286481934175264
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_5y,5,8.229324590355239e-4
z_het_jk_3var_r8q8_pre_covid,z_het_jk_3var,8,8,pre_covid,yield_10y,10,-4.418414853846208e-4
