instrument,r,q,sample,cfg,var,h,point,lo68,hi68,lo90,hi90,sig90
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,17,-0.033826509848450745,-0.1189335130587093,0.050072091624017503,-0.2074158802128424,0.1309801708578725,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,18,-0.03906461382991644,-0.12451532232275794,0.0407829776601982,-0.21591076282753327,0.12415338576621261,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,19,-0.04299068271764491,-0.12778997191483976,0.03406843052907673,-0.2232458627719208,0.11130814402491211,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,20,-0.046952151446151835,-0.12960593706588694,0.03191345541143873,-0.21877425390231872,0.09271900685094876,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,21,-0.04941058477902911,-0.13195518787360336,0.028549130105390275,-0.21712745040189618,0.08966042397216217,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,22,-0.05044391316068667,-0.13159259688459363,0.026038631300889667,-0.21166144916727844,0.08620805149373387,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,23,-0.05085082258882301,-0.13096344162991838,0.023370384483615392,-0.21075096463649173,0.09290689417537763,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,24,-0.050989609930773366,-0.12458256513092957,0.021450062783455747,-0.2067711498775327,0.08562443249536653,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,25,-0.05034957441754744,-0.12207229302798618,0.02422695253344909,-0.20316236435646493,0.08012122995753916,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,26,-0.04884536603712245,-0.11977005204479974,0.022871881783657504,-0.19870092125553157,0.07554397992738152,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,27,-0.04688534732478085,-0.12040945204725792,0.024338495722042018,-0.19253910887793507,0.07989968564218573,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,28,-0.04449583837777721,-0.11750174745379305,0.026024450924222294,-0.194209853927009,0.08268099649370128,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,29,-0.041602140564972016,-0.11458140630921611,0.029778341470245065,-0.18845862981116304,0.0886553079807709,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,30,-0.038229181004818445,-0.11007442255318686,0.034350843634166565,-0.18413942379287823,0.09094235928112612,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,31,-0.034475307194858036,-0.10465802413491102,0.03702591733649421,-0.17551616802792694,0.09343389328181748,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,32,-0.030334394734569285,-0.09808886519472494,0.041589699141351834,-0.17142769145245085,0.09639057960058807,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,33,-0.025845526789264644,-0.09416688596378689,0.04662641434991276,-0.17002383154402606,0.09999916128709047,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,34,-0.021055000811270926,-0.0895849264182714,0.05213283065168729,-0.16157212474133759,0.1028239842707851,FALSE
