var,grupo,tcode,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
icc,atividade,1,2,-0.9088635809266397,-2.3054624324589814,-0.7472202568857212,-2.8281754123529486,-0.32658381898146527,-1,TRUE,TRUE
icc,atividade,1,3,-0.7928802466178065,-2.3340070326530724,-0.6928056522116876,-2.905381421863928,-0.2307168099564523,-1,TRUE,TRUE
icc,atividade,1,4,-0.7715038549367027,-2.360860619250166,-0.6595365062902532,-2.951065221243473,-0.1570148016594605,-1,TRUE,TRUE
icc,atividade,1,5,-0.7670351718768796,-2.3807689148849382,-0.6210060180641632,-3.0688117951870133,-0.16483331787510486,-1,TRUE,TRUE
icc,atividade,1,6,-0.7025930668142623,-2.3298009906837494,-0.4984304400984972,-3.0247242693633876,-0.03172946015493019,-1,TRUE,TRUE
icc,atividade,1,7,-0.606782819867317,-2.2568529477171033,-0.4110547253340867,-2.9988510633503465,0.10379748810111925,-1,TRUE,FALSE
icc,atividade,1,8,-0.5282882099154349,-2.2680647330710975,-0.3384631209378531,-2.998849289718581,0.1855339678411412,-1,TRUE,FALSE
icc,atividade,1,9,-0.429876554694892,-2.208299179491151,-0.2489762826575581,-2.9271793102137047,0.2989252167123958,-1,TRUE,FALSE
icc,atividade,1,10,-0.3085546363562817,-2.1331355269311847,-0.15295079990957827,-2.9248451372946476,0.43283654481462985,-1,TRUE,FALSE
icc,atividade,1,11,-0.1987257243763741,-2.023900485557713,-0.06084716628049935,-2.923520726511369,0.5926660740176347,-1,TRUE,FALSE
icc,atividade,1,12,-0.0916789639536308,-1.9025125150057685,0.06385362033479051,-2.8906405547514136,0.6781097266187756,-1,FALSE,FALSE
icc,atividade,1,13,0.016704077174576292,-1.7708894127388108,0.1858857870135678,-2.806687095544701,0.8173322337777394,1,FALSE,FALSE
icc,atividade,1,14,0.1174385561667265,-1.6527982254880418,0.3488749056792366,-2.688680769333164,0.9604961742301009,1,FALSE,FALSE
icc,atividade,1,15,0.20967750477192798,-1.529358951985275,0.47454330412161716,-2.598992846544072,1.051726117037582,1,FALSE,FALSE
icc,atividade,1,16,0.29584339889866695,-1.3944487349297794,0.5622170696449534,-2.4980240329424017,1.1575264694207652,1,FALSE,FALSE
