variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
drop_near_duplicates,pre_covid,7,4,6,104,84,78,11.19594791672087,xi_mp_ge_10
drop_near_duplicates,pre_covid,7,5,6,104,84,78,10.166452637117478,xi_mp_ge_10
drop_near_duplicates,pre_covid,7,6,6,104,84,78,9.690025284690218,xi_mp_3.84_10
drop_near_duplicates,pre_covid,7,7,6,104,84,78,9.756611223967369,xi_mp_3.84_10
drop_near_duplicates,pre_covid,8,3,6,104,84,78,2.9496643780034257,xi_mp_le_3.84
drop_near_duplicates,pre_covid,8,4,6,104,84,78,3.9502106503229015,xi_mp_3.84_10
drop_near_duplicates,pre_covid,8,5,6,104,84,78,6.325710638071679,xi_mp_3.84_10
drop_near_duplicates,pre_covid,8,6,6,104,84,78,4.765433343540558,xi_mp_3.84_10
drop_near_duplicates,pre_covid,8,7,6,104,84,78,4.763412716279091,xi_mp_3.84_10
drop_near_duplicates,pre_covid,8,8,6,104,84,78,4.465055517442689,xi_mp_3.84_10
