variante,var,bloco,h,point,lo68,hi68,lo90,hi90,sig68,sig90
prod,asset_ifnc,acoes,5,1.0565194881731266,-1.1967370466234748,3.6763132372595138,-2.8516911114242967,5.367948658933327,FALSE,FALSE
prod,asset_ifnc,acoes,6,1.0901170746668738,-1.424814070635603,3.4997573074763033,-2.9324271282537384,5.049820380765278,FALSE,FALSE
prod,asset_ifnc,acoes,7,1.8855696684383763,-0.6223148753934693,4.048440816857564,-2.352099655186446,5.839242940538666,FALSE,FALSE
prod,asset_ifnc,acoes,8,2.255034909414112,-0.10727312937723463,4.4618046418949,-1.572666663579915,6.182412336320867,FALSE,FALSE
prod,asset_ifnc,acoes,9,2.0247238437698942,-0.2838335060856865,4.144052834638458,-2.0583152287274333,5.897522655553072,FALSE,FALSE
prod,asset_ifnc,acoes,10,2.3340928492761654,-0.012732547121960602,4.340709179501947,-1.799249971335073,6.490040921432898,FALSE,FALSE
prod,asset_ifnc,acoes,11,2.1707463561566107,-0.15208115073405562,4.4119801819949425,-2.0241574203476893,6.421304427105432,FALSE,FALSE
prod,asset_ifnc,acoes,12,2.3511458893306822,-0.012982660724804054,4.703633779993544,-1.736251268008962,6.561762190414568,FALSE,FALSE
prod,asset_ifnc,acoes,13,2.1322439406694316,-0.20724883691697962,4.7653528110737975,-1.9645726995977852,6.471385005460913,FALSE,FALSE
prod,asset_ifnc,acoes,14,1.7801629302171222,-0.3724361170147732,4.580179198592325,-2.100250434192516,6.593938633144903,FALSE,FALSE
prod,asset_ifnc,acoes,15,1.6802451980413973,-0.4537189485882145,4.639453282445471,-2.0945254311621166,6.52387345643234,FALSE,FALSE
prod,asset_ifnc,acoes,16,1.3511581612740289,-0.6958890196017413,4.42053005590482,-2.3245585889240354,6.670676329936567,FALSE,FALSE
prod,asset_ifnc,acoes,17,1.182176807645069,-0.7933139627609316,4.411470314631791,-2.2070896370510087,6.840987754414606,FALSE,FALSE
prod,asset_ifnc,acoes,18,1.0180587950143005,-0.8022137461475006,4.375127162693505,-2.3862973982297593,6.815526719163259,FALSE,FALSE
prod,asset_ifnc,acoes,19,0.7025359847969029,-1.015920286847327,4.345315441599799,-2.4958943492678083,6.639593723725191,FALSE,FALSE
prod,asset_ifnc,acoes,20,0.4861370672124886,-1.1167626995483928,4.257147071240975,-2.5487399833619206,6.707182416510811,FALSE,FALSE
prod,asset_ifnc,acoes,21,0.2375430095719017,-1.2384190196197289,4.147175811511714,-2.7727443376863574,6.618229348590872,FALSE,FALSE
prod,asset_ifnc,acoes,22,-0.011827191723516827,-1.3231176644022775,3.898408950975869,-2.9051460337629047,6.542951998268897,FALSE,FALSE
prod,asset_ifnc,acoes,23,-0.22681095090734035,-1.390639514787531,3.742536296743317,-2.950010912188645,6.305466904357441,FALSE,FALSE
prod,asset_ifnc,acoes,24,-0.4698251851439244,-1.5596648870297138,3.7250700014882705,-3.1419145493245595,6.246427965161078,FALSE,FALSE
prod,asset_ifnc,acoes,25,-0.7062794236826967,-1.7545275096126653,3.5258094470274344,-3.2554132730652956,6.1973898982974704,FALSE,FALSE
