ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations,rhs,residual,rhs_including_external_other_adjustments,residual_including_external_other_adjustments
2021-02-01,37384.045141481794,40966.493570670005,-14742.995830450001,897.98799524,0,27121.485735460003,10262.559406021792,37384.045140400005,1.0817893780767918e-6
2021-03-01,3111.2868373086676,44528.37624603999,-44788.73508717,946.56576605,-2288.08559889,-1601.8786739700076,4713.165511278676,3111.2868383499913,-1.0413236850581598e-6
2021-04-01,32752.11902100034,-29966.19676894998,77761.22325543001,-7505.639543650001,0,40289.38694283003,-7537.267921829691,32752.11902014003,8.603092283010483e-7
2021-05-01,75221.52479513083,37438.612007439995,45891.59990974,-69.24869612999998,-0.00453933,83260.95868171999,-8039.433886589162,75221.52479499999,1.3083626981824636e-7
2021-06-01,148057.93453205843,75594.54375689996,61854.49855584,-901.6236679199999,-0.4661251,136546.95251971995,11510.98201233847,148057.93453270994,-6.515183486044407e-7
2021-07-01,14581.801680299453,55402.60950042999,-31765.148105750002,-2341.21828787,-2.04733865,21294.19576815999,-6712.394087860535,14581.80168004999,2.4946348275989294e-7
2021-08-01,24911.679673581384,29738.748269590007,-5773.449727509999,1057.5458887799998,-4319.3753123,20703.46911856001,4208.210555021375,24911.67967409001,-5.086258170194924e-7
2021-09-01,-22716.6959429821,42018.42500000996,-78980.46723741999,-262.15353173999995,-0.20786615,-37224.40363530003,14507.707692317927,-22716.69594366003,6.779300747439265e-7
2021-10-01,-29675.159255010076,25013.73783535997,-54177.46878889,-738.3107676200001,-3365.86372622,-33267.90544737003,3592.746192359955,-29675.15925489003,-1.2004602467641234e-7
2021-11-01,39751.26219467167,26608.007748189986,6127.649302100001,4945.40746028,-0.00125048,37681.063260089984,2070.1989345816837,39751.26219471998,-4.831235855817795e-8
2021-12-01,61333.05945731886,54248.598576809985,10083.201242379999,-2065.3397825599995,0,62266.460036629986,-933.4005793111282,61333.05945745999,-1.411317498423159e-7
2022-01-01,-2189.1334772072732,-84061.23242440002,57511.588160809995,1457.3746558500002,0,-25092.269607740025,22903.136130532752,-2189.1334774200295,2.1275627659633756e-7
2022-02-01,82836.45532665774,22544.895927649995,56026.230467620015,-1372.3054185199844,-3042.68114058,74156.13983617003,8680.315490487716,82836.45532672002,-6.228219717741013e-8
2022-03-01,150670.56743162125,26471.513204010043,102163.05218994999,-167.15183088000006,0,128467.41356308003,22203.153868541223,150670.56743169003,-6.877235136926174e-8
2022-04-01,29378.300519428216,41023.755135640014,-44633.31019786999,100.5467673500001,0,-3509.0082948799777,32887.30881430819,29378.30051934002,8.81955202203244e-8
2022-05-01,110669.94232868403,65971.1043723,46813.61397157,348.03599013,0,113132.754334,-2462.8120053159655,110669.94232894,-2.559681888669729e-7
2022-06-01,-21721.730943022296,83793.44690882001,-124571.60177036,-243.26325100000304,0,-41021.418112539985,19299.68716951769,-21721.730943349987,3.2769094104878604e-7
2022-07-01,15235.817660829984,22498.339558480027,12801.539023439998,250.14950827000013,0,35550.028090190026,-20314.210429360042,15235.817660960027,-1.3004319043830037e-7
2022-08-01,103807.76828601025,65906.66740927001,2542.3152365600004,1477.60346567,0,69926.58611150002,33881.182174510235,103807.76828641002,-3.9977021515369415e-7
2022-09-01,51881.92065308895,60618.32924086002,-52796.98210086,-1995.58362795,-154.82820321000003,5670.93530884002,46210.985344248926,51881.920653060035,2.8914655558764935e-8
2022-10-01,55050.12513324991,14474.069839289969,34278.645072099986,-738.9643820499996,-930.3448449,47083.40568443995,7966.719448809956,55050.12513311995,1.2995587894693017e-7
2022-11-01,35666.70906139165,70371.20887926001,-8525.91350362,1236.6110382099998,0,63081.90641385001,-27415.19735245836,35666.70906135002,4.163302946835756e-8
2022-12-01,79808.69960525073,70820.70431989,17580.023874799997,26.152675299999967,-30.2489199,88396.63195009001,-8587.932344839282,79808.69960527001,-1.928128767758608e-8
2023-01-01,-44157.82784323022,-46692.40504205998,27523.537455480004,137.7076747599999,0,-19031.159911819977,-25126.66793141024,-44157.827843179984,-5.023321136832237e-8
2023-02-01,92871.7615161771,90605.83797212,-25248.735811789993,-50.30723185999998,0,65306.79492847001,27564.966587707087,92871.76151599,1.8709397409111261e-7
2023-03-01,82140.18176089134,79499.19713974999,31152.176218670003,4802.04015113,2941.97110078,118395.38461033,-36255.20284943866,82140.18176097001,-7.86676537245512e-8
2023-04-01,37223.40534601919,25428.303845139988,19506.266154570003,370.1837289899999,-0.06010401,45304.693624689986,-8081.288278670792,37223.40534601999,-7.930793799459934e-10
2023-05-01,109631.25732535124,119225.50621446001,-23301.25462327,-1179.5146666800003,0,94744.73692451001,14886.520400841226,109631.25732579001,-4.387693479657173e-7
2023-06-01,160787.3682675697,89624.95396326,67819.57838713999,-2887.2231981600007,0,154557.30915224,6230.059115329699,160787.36826771998,-1.5029218047857285e-7
2023-07-01,89664.35743205063,81914.18516635001,19173.34230323,-1432.7892163999998,-5212.84011037,94441.89814281002,-4777.540710759393,89664.35743159002,4.6061177272349596e-7
2023-08-01,69961.34932328854,106561.31310511,-44571.94761085001,1115.46730115,0,63104.832795409995,6856.516527878543,69961.34932343,-1.4145916793495417e-7
2023-09-01,54133.630848999135,99785.21182872012,-20842.17326454,-26460.557655760003,-18218.33581186,34264.14509656011,19869.485752439025,54133.63084888011,1.1902739061042666e-7
2023-10-01,41261.562132431194,47148.16993019999,-12102.09134621,4594.65738014,0,39640.73596412999,1620.8261683012024,41261.56213246999,-3.879540599882603e-8
2023-11-01,72836.39083381183,80886.72515505004,29412.386727690006,-1432.10114396,0,108867.01073878005,-36030.61990496822,72836.39083381006,1.775333657860756e-9
2023-12-01,188459.426710858,193430.45314971998,23758.246267780003,2314.906421670001,-645.1734689499999,218858.43237021996,-30399.005659361952,188459.42671091994,-6.193295121192932e-8
2024-01-01,-47695.356416620314,-22232.234609750027,-28440.741751819998,-553.6500340400016,0,-51226.62639561002,3531.2699789897088,-47695.35641662002,-2.9103830456733704e-10
2024-02-01,128511.12299175002,113857.83584264998,-7443.940334109999,8891.548575999997,0,115305.44408453998,13205.678907210036,128511.12299174999,2.9103830456733704e-11
2024-03-01,48005.24689841177,62981.42038191999,-3254.6486687800007,-1069.59634745,0,58657.17536568999,-10651.928467278216,48005.24689840999,1.7826096154749393e-9
2024-04-01,45524.55753532797,69638.01945588,-44209.29676135999,1972.27889761,0,27401.001592130007,18123.555943197964,45524.55753533001,-2.0372681319713593e-9
2024-05-01,109958.12877782993,138256.28887495003,-18047.94109619,7495.325595799999,0,127703.67337456002,-17745.54459673009,109958.12877783002,-8.731149137020111e-11
2024-06-01,49063.31820979342,135723.84896089,-81436.18055163,6876.41196352,0,61164.08037278001,-12100.76216298659,49063.318209790006,3.4124241210520267e-9
2024-07-01,16402.24997207895,101472.05764535003,-27315.39408914,-125.76821540000014,-32586.28536884,41444.60997197002,-25042.359999891072,16402.249972080022,-1.0732037480920553e-9
2024-08-01,63552.48813915718,90380.52169365002,963.78664321,90.04691864999995,-0.41750159,91433.93775392002,-27881.449614762838,63552.48813916002,-2.837623469531536e-9
2024-09-01,91215.57137224171,53766.53840612,56318.29446538999,568.9131214999998,0,110653.74599300999,-19438.174620768274,91215.57137224,1.7171259969472885e-9
2024-10-01,16563.02053542994,74680.72676532003,-88959.11741677999,11.143129449999947,-579.74208232,-14846.989604329967,31410.010139759906,16563.020535430027,-8.731149137020111e-11
2024-11-01,20507.223756199703,99078.63857134998,-72963.80254522001,-297.9864867000001,0,25816.849539429968,-5309.625783230265,20507.22375619997,-2.6557245291769505e-10
2024-12-01,66301.1636610711,80372.05010447,-33606.12169779,5046.691465,0,51812.61987168001,14488.543789391086,66301.16366107001,1.0913936421275139e-9
2025-01-01,-76.96397751942277,-63737.127651210016,84566.84072826998,-6565.961499809995,0,14263.751577249966,-14340.71555476939,-76.96397752003395,6.111804395914078e-10
2025-02-01,75854.47955747973,97225.82028459996,-4537.6257542700005,1789.48629044,0,94477.68082076997,-18623.201263290233,75854.47955747996,-2.3283064365386963e-10
2025-03-01,83166.55915815942,71620.51139953002,25238.15632951,1176.802958499999,0,98035.47068754003,-14868.91152938061,83166.55915816003,-6.111804395914078e-10
2025-04-01,52998.50747264642,55535.990986410005,20136.010812149998,3092.38446644,0,78764.386265,-25765.87879235357,52998.50747264999,-3.5652192309498787e-9
2025-05-01,115024.41528078262,125884.81414056005,-11753.85619654,3031.12258392,0,117162.08052794005,-2137.6652471574344,115024.41528078006,2.561137080192566e-9
2025-06-01,154523.47912084125,108107.16078447,61952.81787317998,3378.6567741800004,0,173438.63543182999,-18915.156310988736,154523.47912084,1.2514647096395493e-9
2025-07-01,148893.17140916735,175575.69411157997,-35979.837333330004,-379.03223377999996,0,139216.82454446997,9676.346864697378,148893.17140916997,-2.6193447411060333e-9
2025-08-01,118063.48311488144,91516.12244199998,43761.48987265001,4569.359298920001,0,139846.97161356997,-21783.48849868853,118063.48311487997,1.469743438065052e-9
2025-09-01,117712.9628906576,102184.70169815,27367.512183350005,209.52115722999994,0,129761.73503873001,-12048.772148072414,117712.96289066001,-2.4156179279088974e-9
