ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_primary_result,dlsp_nominal_interest,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations
2020-07-01,146363.6742895916,86908.70933816001,81070.87524222,5837.834095940008,71878.05037594002,-68.85246556999999,0
2020-08-01,44950.66179420892,121878.89904039999,87593.65102192998,34285.24801847001,-71628.10698122001,-655.6427279900213,0
2020-09-01,64960.99255700968,103418.54136829,64558.57542940998,38859.96593888001,-45815.89710524001,787.0024389799999,-1e-8
2020-10-01,3166.9741203812882,30924.460459110025,-2952.507303269977,33876.96776238,-35111.11829402,1205.1470998799998,0
2020-11-01,132606.45946504828,20122.869036560038,18139.807014230035,1983.0620223300025,118067.47937167001,638.4913317600001,-2.42445481
2020-12-01,101787.68440918997,75808.00563949003,51837.21432163004,23970.791317859996,36462.965568340005,-1571.9243459400002,-131.67996369
2021-01-01,-87795.73970150948,-17928.250274579987,-58374.61651237998,40446.36623779999,-74860.38537268998,410.8191084400005,-0.11445751
2021-02-01,37384.045141481794,40966.493570670005,11769.780915769998,29196.712654900006,-14742.995830450001,897.98799524,0
2021-03-01,3111.2868373086676,44528.37624603999,-4981.165939290003,49509.54218532999,-44788.73508717,946.56576605,-2288.08559889
2021-04-01,32752.11902100034,-29966.19676894998,-24255.43125622998,-5710.76551272,77761.22325543001,-7505.639543650001,0
2021-05-01,75221.52479513083,37438.612007439995,15541.421504839993,21897.190502600006,45891.59990974,-69.24869612999998,-0.00453933
2021-06-01,148057.93453205843,75594.54375689996,65508.08580560997,10086.457951289998,61854.49855584,-901.6236679199999,-0.4661251
2021-07-01,14581.801680299453,55402.60950042999,10283.135827719996,45119.473672709995,-31765.148105750002,-2341.21828787,-2.04733865
2021-08-01,24911.679673581384,29738.748269590007,-16728.596730970003,46467.34500056001,-5773.449727509999,1057.5458887799998,-4319.3753123
2021-09-01,-22716.6959429821,42018.42500000996,-12933.468056090049,54951.8930561,-78980.46723741999,-262.15353173999995,-0.20786615
2021-10-01,-29675.159255010076,25013.73783535997,-35399.35725821004,60413.09509357001,-54177.46878889,-738.3107676200001,-3365.86372622
2021-11-01,39751.26219467167,26608.007748189986,-15034.077799060027,41642.08554725001,6127.649302100001,4945.40746028,-0.00125048
2021-12-01,61333.05945731886,54248.598576809985,-123.1864958600174,54371.785072670005,10083.201242379999,-2065.3397825599995,0
2022-01-01,-2189.1334772072732,-84061.23242440002,-101833.1169244,17771.88449999999,57511.588160809995,1457.3746558500002,0
2022-02-01,82836.45532665774,22544.895927649995,-3470.8959434100175,26015.791871060013,56026.230467620015,-1372.3054185199844,-3042.68114058
2022-03-01,150670.56743162125,26471.513204010043,-4312.249349129968,30783.76255314001,102163.05218994999,-167.15183088000006,0
2022-04-01,29378.300519428216,41023.755135640014,-38876.44957619999,79900.20471184001,-44633.31019786999,100.5467673500001,0
2022-05-01,110669.94232868403,65971.1043723,32992.58385239,32978.52051991,46813.61397157,348.03599013,0
2022-06-01,-21721.730943022296,83793.44690882001,-14394.622091439987,98188.06900026,-124571.60177036,-243.26325100000304,0
2022-07-01,15235.817660829984,22498.339558480027,-20440.475316029962,42938.81487450999,12801.539023439998,250.14950827000013,0
2022-08-01,103807.76828601025,65906.66740927001,30279.166947980004,35627.50046129,2542.3152365600004,1477.60346567,0
2022-09-01,51881.92065308895,60618.32924086002,-10745.798937399994,71364.12817826001,-52796.98210086,-1995.58362795,-154.82820321000003
2022-10-01,55050.12513324991,14474.069839289969,-27094.618724960008,41568.68856424998,34278.645072099986,-738.9643820499996,-930.3448449
2022-11-01,35666.70906139165,70371.20887926001,20089.18844996999,50282.02042929002,-8525.91350362,1236.6110382099998,0
2022-12-01,79808.69960525073,70820.70431989,11813.385988669997,59007.31833122001,17580.023874799997,26.152675299999967,-30.2489199
2023-01-01,-44157.82784323022,-46692.40504205998,-99012.69732306998,52320.29228101,27523.537455480004,137.7076747599999,0
2023-02-01,92871.7615161771,90605.83797212,26453.03153557999,64152.80643654001,-25248.735811789993,-50.30723185999998,0
2023-03-01,82140.18176089134,79499.19713974999,14182.482536989988,65316.71460276,31152.176218670003,4802.04015113,2941.97110078
2023-04-01,37223.40534601919,25428.303845139988,-20324.490198200005,45752.79404333999,19506.266154570003,370.1837289899999,-0.06010401
2023-05-01,109631.25732535124,119225.50621446001,50172.271320249994,69053.23489421,-23301.25462327,-1179.5146666800003,0
2023-06-01,160787.3682675697,89624.95396326,48898.59447885001,40726.35948440999,67819.57838713999,-2887.2231981600007,0
2023-07-01,89664.35743205063,81914.18516635001,35809.35643112003,46104.82873522999,19173.34230323,-1432.7892163999998,-5212.84011037
2023-08-01,69961.34932328854,106561.31310511,22830.08256484999,83731.23054026002,-44571.94761085001,1115.46730115,0
2023-09-01,54133.630848999135,99785.21182872012,18071.047437280118,81714.16439143999,-20842.17326454,-26460.557655760003,-18218.33581186
2023-10-01,41261.562132431194,47148.16993019999,-14798.482795850003,61946.65272604999,-12102.09134621,4594.65738014,0
2023-11-01,72836.39083381183,80886.72515505004,37269.73982315003,43616.98533190001,29412.386727690006,-1432.10114396,0
2023-12-01,188459.426710858,193430.45314971998,129572.79360563999,63857.65954408,23758.246267780003,2314.906421670001,-645.1734689499999
