sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_2y,9,-0.002860503946583514,-0.005155188900036301,0.004124180061765089,-0.01044494761391481,0.00778613824070665,FALSE,FALSE
pre_covid,5,4,6,yield_2y,10,-0.002891796359477228,-0.005619853255798386,0.004051008692117063,-0.011077905671586237,0.007686495345021225,FALSE,FALSE
pre_covid,5,4,6,yield_2y,11,-0.0026213944926081543,-0.005377158904741466,0.00448479285066433,-0.010760795281803319,0.008397362123920568,FALSE,FALSE
pre_covid,5,4,6,yield_2y,12,-0.0027015705950172355,-0.005840168398204888,0.004191902182764176,-0.011949543979306905,0.00865715564433376,FALSE,FALSE
pre_covid,5,4,6,yield_2y,13,-0.0026975559064769655,-0.005981240469874156,0.00446777115509381,-0.012100379761137698,0.008811612455109752,FALSE,FALSE
pre_covid,5,4,6,yield_2y,14,-0.0026731862925865576,-0.005828826764806395,0.004418927134722495,-0.012195195987410421,0.008981708680175357,FALSE,FALSE
pre_covid,5,4,6,yield_2y,15,-0.0031057689051096427,-0.0061604504582944124,0.004012900373433721,-0.01210075397288496,0.008839703194692631,FALSE,FALSE
pre_covid,5,4,6,yield_2y,16,-0.003538065326541626,-0.006261806547866467,0.003939217726388172,-0.012603131884542738,0.008943684178166834,FALSE,FALSE
pre_covid,5,4,6,yield_2y,17,-0.0039294797247697525,-0.0066422041725639185,0.003780230592202184,-0.01263591321896074,0.008889293757037588,FALSE,FALSE
pre_covid,5,4,6,yield_2y,18,-0.004355791401062668,-0.0067556929581526325,0.0035335670744427693,-0.012154192972569516,0.008716249865654736,FALSE,FALSE
pre_covid,5,4,6,yield_2y,19,-0.004709303644397966,-0.006896577216335619,0.003002006412652763,-0.012756466163465938,0.008913000344760457,FALSE,FALSE
pre_covid,5,4,6,yield_2y,20,-0.004976350961868147,-0.007120651756987946,0.0025251766236449617,-0.012778224483057148,0.008591868540120248,FALSE,FALSE
pre_covid,5,4,6,yield_2y,21,-0.005124490321229382,-0.007442545146717975,0.002416404279259235,-0.013071782446724703,0.008406862046913984,FALSE,FALSE
pre_covid,5,4,6,yield_2y,22,-0.0051945584786447264,-0.0073769027237417665,0.002332607698447364,-0.012974453253316798,0.008275420761311627,FALSE,FALSE
pre_covid,5,4,6,yield_2y,23,-0.005213996862217874,-0.007454727343884487,0.0018168720128912447,-0.01261694866391458,0.008396643526859336,FALSE,FALSE
pre_covid,5,4,6,yield_2y,24,-0.005155688516880864,-0.007393688915274054,0.0016801570426861058,-0.012793183325544239,0.008561898788449238,FALSE,FALSE
pre_covid,5,4,6,yield_2y,25,-0.005086084943115403,-0.007364093299949874,0.0014429895115235449,-0.01256870677934116,0.007689624663042585,FALSE,FALSE
pre_covid,5,4,6,yield_2y,26,-0.005023160941001229,-0.007500686504159653,0.0010802389778423256,-0.01267959204863526,0.007931241520143626,FALSE,FALSE
pre_covid,5,4,6,yield_2y,27,-0.004949982138084043,-0.007831733113668863,7.460528390652622e-4,-0.012159237157606077,0.008271199054681447,FALSE,FALSE
pre_covid,5,4,6,yield_2y,28,-0.0048697098754582595,-0.007674154838060266,4.859747532126647e-4,-0.011652607439397137,0.008006510046091682,FALSE,FALSE
pre_covid,5,4,6,yield_2y,29,-0.004777250070578089,-0.007901076508597515,3.0193591282541517e-4,-0.012336850919102174,0.006927350192846351,FALSE,FALSE
pre_covid,5,4,6,yield_2y,30,-0.004662615992130233,-0.007718168111375359,2.9613896577675977e-4,-0.012341129815013058,0.006526052338407305,FALSE,FALSE
