sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
full,5,4,6,yield_5y,11,0.013290683132342124,0.004944886070380995,0.01780736317963151,0.0010601335604831217,0.023338451345134292,TRUE,TRUE
full,5,4,6,yield_5y,12,0.013539748800813399,0.0051828001162064225,0.018329950698638565,4.502754880592041e-4,0.02431148734719909,TRUE,TRUE
full,5,4,6,yield_5y,13,0.013156195248625435,0.004532684373336613,0.018324821213089537,3.285671480553837e-5,0.02485876528120471,TRUE,TRUE
full,5,4,6,yield_5y,14,0.012714324990010281,0.003883421541920492,0.018118548697040653,-4.2687793876630513e-4,0.025529952761618516,TRUE,FALSE
full,5,4,6,yield_5y,15,0.01256589493188151,0.003735453352560627,0.018311070847972653,-9.412469538019999e-4,0.026272060463413224,TRUE,FALSE
full,5,4,6,yield_5y,16,0.012338479949764782,0.0034585420922316028,0.018251852851168152,-0.001970225747450768,0.026264973427219312,TRUE,FALSE
full,5,4,6,yield_5y,17,0.011953483553063875,0.00298450135526041,0.01802400100352197,-0.0024881024366615336,0.02606829552950852,TRUE,FALSE
full,5,4,6,yield_5y,18,0.011580290922417677,0.0025803820205849448,0.017759625507206257,-0.0029710323646045603,0.026135625382585067,TRUE,FALSE
full,5,4,6,yield_5y,19,0.01105646634123861,0.0019416614855031144,0.01728944404470521,-0.003464781897289184,0.025332640335989465,TRUE,FALSE
full,5,4,6,yield_5y,20,0.0104100607759418,0.0013544340380158286,0.016452122223471276,-0.0043920751091625024,0.025214235181099595,TRUE,FALSE
full,5,4,6,yield_5y,21,0.009818156180002017,8.239021783329015e-4,0.01586573757895906,-0.005673786925782063,0.02459395667604976,TRUE,FALSE
full,5,4,6,yield_5y,22,0.009196123191004182,2.2455367944342275e-4,0.015139236388013485,-0.006517394113445769,0.02405522005451017,TRUE,FALSE
full,5,4,6,yield_5y,23,0.008485044971423435,-6.431517121277548e-4,0.01441914178228336,-0.007267335429962189,0.023283332571503574,FALSE,FALSE
full,5,4,6,yield_5y,24,0.007738602183314587,-0.0012038396598457067,0.013708167807905944,-0.0076884412653858494,0.022592673897476028,FALSE,FALSE
full,5,4,6,yield_5y,25,0.006962568352443296,-0.001964887331456713,0.013064280780733292,-0.008560493134322137,0.021674789300159068,FALSE,FALSE
full,5,4,6,yield_5y,26,0.006171626658450092,-0.002812731115953344,0.012105993643852158,-0.009500295287432172,0.020382570132535097,FALSE,FALSE
full,5,4,6,yield_5y,27,0.0053880691624189824,-0.003390163752616284,0.011427145047783055,-0.010587673790135338,0.019121327863377655,FALSE,FALSE
full,5,4,6,yield_5y,28,0.004595627458723067,-0.004079773085994285,0.010605647920654465,-0.01189417577816379,0.0178851565397901,FALSE,FALSE
full,5,4,6,yield_5y,29,0.0037967455301968944,-0.004730677260471806,0.009803906036344876,-0.012873045530568672,0.017138225207125764,FALSE,FALSE
