cell_id,cell,reference_cell,comparison,var,h,point,reference_point,difference_vs_reference
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,7,0.029672064968178744,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,7,0.00733253096608359,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,7,0.03602385510840597,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,7,13.857370273104943,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,8,-0.10434169834375308,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,8,0.02377662714819926,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,8,0.007280275302439219,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,8,0.02615945169186234,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,8,12.947021656870394,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,9,-0.0889283402265578,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,9,0.018375019175710244,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,9,0.007180147741531374,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,9,0.01722403869869079,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,9,12.102727654358773,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,10,-0.07571573073058446,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,10,0.013406750972680516,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,10,0.007036116927617263,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,10,0.009118701203977887,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,10,11.3035188859351,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,11,-0.06439088094335992,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,11,0.0088255807217558,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,11,0.006852210738276059,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,11,0.0017770597007291831,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,11,10.536163231360211,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,12,-0.05471415200359834,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,12,0.0046016622621428095,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,12,0.006632441287051518,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,12,-0.004850671482874415,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,12,9.792235240586864,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,13,-0.04648971649113206,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,13,7.164289211087451e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,13,0.006380784679897141,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,13,-0.010804940312930835,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,13,9.066526678332863,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,14,-0.03955136756773148,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,14,-0.0028423445837184825,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,14,0.0061011669599587755,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,14,-0.016120350520393525,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,14,8.356092853468303,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,15,-0.033754885023893656,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,15,-0.0060837965241282745,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,15,0.0057974456980598894,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,15,-0.020827649196307307,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,15,7.659611187642585,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,16,-0.028973287032525254,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,16,-0.009015826631922576,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,16,0.005473388412980369,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,16,-0.024955057419782854,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,16,6.9769126626373374,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,17,-0.025093502054700376,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,17,-0.01164607880471307,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,17,0.005132650740975572,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,17,-0.028529238431435004,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,17,6.3086268547458815,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,18,-0.02201388497496381,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,18,-0.013982450059993181,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,18,0.004778756331694233,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,18,-0.03157600564857247,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,18,5.655911069107634,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,19,-0.01964232493624632,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,19,-0.01603335168089795,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,19,0.004415079355041899,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,19,-0.034120821142590047,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,19,5.020244851014427,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,20,-0.01789480296020049,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,20,-0.017807837904681732,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,20,0.004044829826592132,NA,NA
