panel,sample,n_months,n_series,r,criterion,value
exchange_expectations_115,full,153,115,8,IC3,-0.391099552561961
exchange_expectations_115,full,153,115,9,IC1,-0.20563277857385942
exchange_expectations_115,full,153,115,9,IC2,-0.12818577430943168
exchange_expectations_115,full,153,115,9,IC3,-0.40913570296251883
exchange_expectations_115,full,153,115,10,IC1,-0.19019694468265458
exchange_expectations_115,full,153,115,10,IC2,-0.10414471772217926
exchange_expectations_115,full,153,115,10,IC3,-0.41631130511449843
exchange_expectations_115,full,153,115,11,IC1,-0.17406435758364125
exchange_expectations_115,full,153,115,11,IC2,-0.07940690792711835
exchange_expectations_115,full,153,115,11,IC3,-0.4227901540586694
exchange_expectations_115,full,153,115,12,IC1,-0.15764388040821686
exchange_expectations_115,full,153,115,12,IC2,-0.0543812080556465
exchange_expectations_115,full,153,115,12,IC3,-0.42898111292642943
exchange_expectations_115,full,153,115,13,IC1,-0.1401704701310067
exchange_expectations_115,full,153,115,13,IC2,-0.02830257508238876
exchange_expectations_115,full,153,115,13,IC3,-0.4341191386924036
exchange_expectations_115,full,153,115,14,IC1,-0.1226877761007702
exchange_expectations_115,full,153,115,14,IC2,-0.0022146583561046818
exchange_expectations_115,full,153,115,14,IC3,-0.4392478807053516
exchange_expectations_115,full,153,115,15,IC1,-0.10127329378670924
exchange_expectations_115,full,153,115,15,IC2,0.02780504665400363
exchange_expectations_115,full,153,115,15,IC3,-0.4404448344344749
exchange_expectations_115,full,153,115,16,IC1,-0.07953806564409782
exchange_expectations_115,full,153,115,16,IC2,0.058145497492662734
exchange_expectations_115,full,153,115,16,IC3,-0.4413210423350479
exchange_expectations_115,full,153,115,17,IC1,-0.059188256228891234
exchange_expectations_115,full,153,115,17,IC2,0.08710052960391668
exchange_expectations_115,full,153,115,17,IC3,-0.4435826689630257
exchange_expectations_115,full,153,115,18,IC1,-0.0378887999937112
exchange_expectations_115,full,153,115,18,IC2,0.11700520853514429
exchange_expectations_115,full,153,115,18,IC3,-0.44489464877103
exchange_expectations_115,full,153,115,19,IC1,-0.017232423653230855
exchange_expectations_115,full,153,115,19,IC2,0.1462668075716722
exchange_expectations_115,full,153,115,19,IC3,-0.44684970847373395
exchange_expectations_115,full,153,115,20,IC1,0.0033722017596826692
exchange_expectations_115,full,153,115,20,IC2,0.1754766556806333
exchange_expectations_115,full,153,115,20,IC3,-0.44885651910400504
exchange_expectations_115,pre_covid,84,115,1,IC1,-0.06945366553800815
exchange_expectations_115,pre_covid,84,115,1,IC2,-0.05818281057084268
exchange_expectations_115,pre_covid,84,115,1,IC3,-0.0966075115082044
exchange_expectations_115,pre_covid,84,115,2,IC1,-0.10569772899876526
exchange_expectations_115,pre_covid,84,115,2,IC2,-0.08315601906443432
exchange_expectations_115,pre_covid,84,115,2,IC3,-0.16000542093915776
exchange_expectations_115,pre_covid,84,115,3,IC1,-0.1103630790030023
exchange_expectations_115,pre_covid,84,115,3,IC2,-0.07655051410150582
exchange_expectations_115,pre_covid,84,115,3,IC3,-0.19182461691359098
exchange_expectations_115,pre_covid,84,115,4,IC1,-0.10771334063009713
exchange_expectations_115,pre_covid,84,115,4,IC2,-0.06262992076143525
exchange_expectations_115,pre_covid,84,115,4,IC3,-0.21632872451088211
exchange_expectations_115,pre_covid,84,115,5,IC1,-0.10128911274586566
exchange_expectations_115,pre_covid,84,115,5,IC2,-0.04493483791003827
exchange_expectations_115,pre_covid,84,115,5,IC3,-0.23705834259684688
exchange_expectations_115,pre_covid,84,115,6,IC1,-0.0971587865342598
exchange_expectations_115,pre_covid,84,115,6,IC2,-0.029533656731266844
exchange_expectations_115,pre_covid,84,115,6,IC3,-0.2600818623554372
exchange_expectations_115,pre_covid,84,115,7,IC1,-0.08031773872239956
exchange_expectations_115,pre_covid,84,115,7,IC2,-0.0014217539522412004
exchange_expectations_115,pre_covid,84,115,7,IC3,-0.27039466051377326
exchange_expectations_115,pre_covid,84,115,8,IC1,-0.059900892615090684
exchange_expectations_115,pre_covid,84,115,8,IC2,0.030265947122233072
exchange_expectations_115,pre_covid,84,115,8,IC3,-0.27713166037666065
exchange_expectations_115,pre_covid,84,115,9,IC1,-0.042880033327919675
exchange_expectations_115,pre_covid,84,115,9,IC2,0.0585576613765697
exchange_expectations_115,pre_covid,84,115,9,IC3,-0.2872646470596858
exchange_expectations_115,pre_covid,84,115,10,IC1,-0.024565708614151638
