panel,variable,h,point
baseline_111,yield_2y,39,-0.006281019724130899
baseline_111,yield_2y,40,-0.006110861352573212
baseline_111,yield_2y,41,-0.005915391591203815
baseline_111,yield_2y,42,-0.005697788705352178
baseline_111,yield_2y,43,-0.00546119350895784
baseline_111,yield_2y,44,-0.005208683179177829
baseline_111,yield_2y,45,-0.004943247940389028
baseline_111,yield_2y,46,-0.004667771813507382
baseline_111,yield_2y,47,-0.004385015299214144
baseline_111,yield_2y,48,-0.00409760029951163
baseline_111,yield_5y,0,0.007483092668287027
baseline_111,yield_5y,1,0.00870836214705881
baseline_111,yield_5y,2,0.0079040526884599609
baseline_111,yield_5y,3,0.009681211070190822
baseline_111,yield_5y,4,0.00986649548728772
baseline_111,yield_5y,5,0.009050896852285484
baseline_111,yield_5y,6,0.008867746196993166
baseline_111,yield_5y,7,0.008353483057261727
baseline_111,yield_5y,8,0.007420172981632551
baseline_111,yield_5y,9,0.006597850857850561
baseline_111,yield_5y,10,0.005758918676714615
baseline_111,yield_5y,11,0.0048310179224204585
baseline_111,yield_5y,12,0.003941215995882179
baseline_111,yield_5y,13,0.0030863310122097205
baseline_111,yield_5y,14,0.0022478886284818035
baseline_111,yield_5y,15,0.0014434546356959959
baseline_111,yield_5y,16,6.824782627796802e-4
baseline_111,yield_5y,17,-3.82537418824598e-5
baseline_111,yield_5y,18,-7.196691330371741e-4
baseline_111,yield_5y,19,-0.0013563759014463966
baseline_111,yield_5y,20,-0.0019480461639689076
baseline_111,yield_5y,21,-0.002496476997226036
baseline_111,yield_5y,22,-0.0029992608090180168
baseline_111,yield_5y,23,-0.003455355693036844
baseline_111,yield_5y,24,-0.003865651409128897
baseline_111,yield_5y,25,-0.0042294422780677285
baseline_111,yield_5y,26,-0.004546368704904275
baseline_111,yield_5y,27,-0.004817253299375912
baseline_111,yield_5y,28,-0.0050426616684420686
baseline_111,yield_5y,29,-0.005223350245030373
baseline_111,yield_5y,30,-0.005360714563574044
baseline_111,yield_5y,31,-0.0054563196397308675
baseline_111,yield_5y,32,-0.005511911410796809
baseline_111,yield_5y,33,-0.005529566309088134
baseline_111,yield_5y,34,-0.0055115533539385475
baseline_111,yield_5y,35,-0.005460274400253031
baseline_111,yield_5y,36,-0.005378281193975446
baseline_111,yield_5y,37,-0.005268226876008099
baseline_111,yield_5y,38,-0.0051328172447986644
baseline_111,yield_5y,39,-0.004974790223941529
baseline_111,yield_5y,40,-0.004796889163936429
baseline_111,yield_5y,41,-0.004601831172453155
baseline_111,yield_5y,42,-0.004392284220062144
baseline_111,yield_5y,43,-0.004170848536776768
baseline_111,yield_5y,44,-0.003940036985139835
baseline_111,yield_5y,45,-0.003702258532955869
baseline_111,yield_5y,46,-0.003459805808889499
baseline_111,yield_5y,47,-0.003214843745265653
baseline_111,yield_5y,48,-0.002969399997748486
baseline_111,yield_10y,0,0.006763859651362868
baseline_111,yield_10y,1,0.00778630194737817
baseline_111,yield_10y,2,0.006874685555222207
baseline_111,yield_10y,3,0.008533332951794152
baseline_111,yield_10y,4,0.008671464010286213
baseline_111,yield_10y,5,0.007865892303225257
baseline_111,yield_10y,6,0.007691341827392913
baseline_111,yield_10y,7,0.007211335056221789
baseline_111,yield_10y,8,0.006343778460251217
baseline_111,yield_10y,9,0.005594935171115687
baseline_111,yield_10y,10,0.004836159531854718
baseline_111,yield_10y,11,0.0039994168000417165
baseline_111,yield_10y,12,0.0032045876440486244
baseline_111,yield_10y,13,0.0024462400235555105
baseline_111,yield_10y,14,0.0017065500009378527
baseline_111,yield_10y,15,0.001001557853842024
baseline_111,yield_10y,16,3.39079424177091e-4
baseline_111,yield_10y,17,-2.845313193980062e-4
baseline_111,yield_10y,18,-8.707492821607073e-4
baseline_111,yield_10y,19,-0.0014150794936992836
baseline_111,yield_10y,20,-0.0019177370697369839
baseline_111,yield_10y,21,-0.002380926798733983
baseline_111,yield_10y,22,-0.0028027785257599743
baseline_111,yield_10y,23,-0.0031826920851680514
baseline_111,yield_10y,24,-0.003521872868510644
baseline_111,yield_10y,25,-0.003819933259126573
baseline_111,yield_10y,26,-0.004076774219460863
baseline_111,yield_10y,27,-0.004293383229119335
baseline_111,yield_10y,28,-0.004470445191652413
baseline_111,yield_10y,29,-0.004608782398194217
baseline_111,yield_10y,30,-0.004709785977199639
