ref.date,dlsp_exchange_adjustment,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,sublines_sum,rounding_difference,dlsp_exchange_adjustment_adjusted
2021-08-01,-5773.449727509999,29.034124119999987,-5802.48385163,-5773.449727509999,0,-5773.449727509999
2021-09-01,-78980.46723741999,601.22087571,-79581.68811312999,-78980.46723741999,0,-78980.46723741999
2021-10-01,-54177.46878889,402.83271917000013,-54580.30150806,-54177.46878889,0,-54177.46878889
2021-11-01,6127.649302100001,-49.29576827000001,6176.94507037,6127.649302100001,0,6127.649302100001
2021-12-01,10083.201242379999,-75.45723484999996,10158.65847723,10083.201242379999,0,10083.201242379999
2022-01-01,57511.588160809995,-428.69805307000024,57940.28621388,57511.588160809995,0,57511.588160809995
2022-02-01,56026.230467620015,-415.44589358999997,56441.67636121001,56026.230467620015,0,56026.230467620015
2022-03-01,102163.05218994999,-688.4762126,102851.52840254999,102163.05218994999,0,102163.05218994999
2022-04-01,-44633.31019786999,290.70982962000005,-44924.02002748999,-44633.31019786999,0,-44633.31019786999
2022-05-01,46813.61397157,-272.92080968000005,47086.53478125,46813.61397157,0,46813.61397157
2022-06-01,-124571.60177036,725.0675439500001,-125296.66931431,-124571.60177036,0,-124571.60177036
2022-07-01,12801.539023439998,-101.43159915999996,12902.970622599998,12801.539023439998,0,12801.539023439998
2022-08-01,2542.3152365600004,-17.09352580000001,2559.4087623600003,2542.3152365600004,0,2542.3152365600004
2022-09-01,-52796.98210086,336.22003861999985,-53133.202139479996,-52796.98210086,0,-52796.98210086
2022-10-01,34278.645072099986,-224.46439399999997,34503.10946609999,34278.645072099986,0,34278.645072099986
2022-11-01,-8525.91350362,34.08496967999998,-8559.9984733,-8525.91350362,0,-8525.91350362
2022-12-01,17580.023874799997,-65.63396634000003,17645.657841139997,17580.023874799997,0,17580.023874799997
2023-01-01,27523.537455480004,-124.40924409999992,27647.946699580003,27523.537455480004,0,27523.537455480004
2023-02-01,-25248.735811789993,123.74731319999995,-25372.483124989994,-25248.735811789993,0,-25248.735811789993
2023-03-01,31152.176218670003,-102.49448430000018,31254.670702970005,31152.176218670003,0,31152.176218670003
2023-04-01,19506.266154570003,-64.16026572999998,19570.426420300002,19506.266154570003,0,19506.266154570003
2023-05-01,-23301.25462327,63.02352207,-23364.278145340002,-23301.25462327,0,-23301.25462327
2023-06-01,67819.57838713999,-174.7268905599999,67994.3052777,67819.57838713999,0,67819.57838713999
2023-07-01,19173.34230323,-18.229992019999983,19191.57229525,19173.34230323,0,19173.34230323
2023-08-01,-44571.94761085001,40.42376780999996,-44612.37137866001,-44571.94761085001,0,-44571.94761085001
2023-09-01,-20842.17326454,-6.832965480000041,-20835.34029906,-20842.17326454,0,-20842.17326454
2023-10-01,-12102.09134621,-5.878284829999984,-12096.21306138,-12102.09134621,0,-12102.09134621
2023-11-01,29412.386727690006,21.10586147999993,29391.280866210007,29412.386727690006,0,29412.386727690006
2023-12-01,23758.246267780003,49.708299839999995,23708.537967940003,23758.246267780003,0,23758.246267780003
2024-01-01,-28440.741751819998,-66.90559222000002,-28373.8361596,-28440.741751819998,0,-28440.741751819998
2024-02-01,-7443.940334109999,-13.304007249999984,-7430.636326859999,-7443.940334109999,0,-7443.940334109999
2024-03-01,-3254.6486687800007,-9.2531307,-3245.3955380800007,-3254.6486687800007,0,-3254.6486687800007
2024-04-01,-44209.29676135999,-258.87247611999976,-43950.42428523999,-44209.29676135999,0,-44209.29676135999
2024-05-01,-18047.94109619,-314.4769207000001,-17733.46417549,-18047.94109619,0,-18047.94109619
2024-06-01,-81436.18055163,-1485.1291830199998,-79951.05136860999,-81436.18055163,0,-81436.18055163
2024-07-01,-27315.39408914,-493.59611723,-26821.79797191,-27315.39408914,0,-27315.39408914
2024-08-01,963.78664321,7.51592763,956.27071558,963.78664321,0,963.78664321
2024-09-01,56318.29446538999,1060.04391509,55258.25055029999,56318.29446538999,0,56318.29446538999
2024-10-01,-88959.11741677999,-1714.5577861799995,-87244.5596306,-88959.11741677999,0,-88959.11741677999
2024-11-01,-72963.80254522001,-1453.9906931799997,-71509.81185204,-72963.80254522001,0,-72963.80254522001
2024-12-01,-33606.12169779,-742.3308325400001,-32863.79086525,-33606.12169779,0,-33606.12169779
2025-01-01,84566.84072826998,1989.6168588099997,82577.22386945998,84566.84072826998,0,84566.84072826998
2025-02-01,-4537.6257542700005,-102.92381849999998,-4434.70193577,-4537.6257542700005,0,-4537.6257542700005
2025-03-01,25238.15632951,593.48455289,24644.671776619998,25238.15632951,0,25238.15632951
2025-04-01,20136.010812149998,451.01854420000006,19684.992267949998,20136.010812149998,0,20136.010812149998
2025-05-01,-11753.85619654,-262.96287107,-11490.89332547,-11753.85619654,0,-11753.85619654
2025-06-01,61952.81787317998,1431.1054027000002,60521.71247047998,61952.81787317998,0,61952.81787317998
2025-07-01,-35979.837333330004,-876.7765116500001,-35103.06082168,-35979.837333330004,0,-35979.837333330004
2025-08-01,43761.48987265001,1026.8117475,42734.67812515001,43761.48987265001,0,43761.48987265001
2025-09-01,27367.512183350005,461.3412165100001,26906.170966840004,27367.512183350005,0,27367.512183350005
