var,h,winner,runnerup
asset_imat,47,17.532378217573804,-70.62084989129127
asset_imat,48,17.428435817710756,-71.90610116925824
asset_imob,0,-13.053565713173947,-11.922197604274574
asset_imob,1,-15.829179329823262,-21.45560392983439
asset_imob,2,-14.030162894054744,-14.554778639856124
asset_imob,3,-13.807428949537156,-13.83179120158737
asset_imob,4,-12.457473297959204,-11.161433396011077
asset_imob,5,-12.642644346145786,-2.613176837606317
asset_imob,6,-13.045878678798825,-0.2704224194746206
asset_imob,7,-12.72699718347293,4.155519988257739
asset_imob,8,-10.609842444861908,9.443271717438897
asset_imob,9,-9.791051961371313,14.535523618576542
asset_imob,10,-9.862619132683035,19.167470005534188
asset_imob,11,-9.18364138040477,23.45234355203504
asset_imob,12,-8.873693501509017,27.630276941565878
asset_imob,13,-8.281921162214957,30.71851744190536
asset_imob,14,-7.529252396452459,34.06153366490586
asset_imob,15,-7.2687255615460495,36.73163136635587
asset_imob,16,-7.2239224629565655,38.60226873102711
asset_imob,17,-7.162006720054171,40.654627788065476
asset_imob,18,-7.0675942523019994,42.22062985095491
asset_imob,19,-6.986640489120739,43.61370617964955
asset_imob,20,-6.905436192188352,44.86435326214516
asset_imob,21,-6.927943297857091,45.782877892585496
asset_imob,22,-6.973535290043781,46.53278474261591
asset_imob,23,-6.916963675335354,47.16927564858552
asset_imob,24,-6.8555252859956255,47.71388559802667
asset_imob,25,-6.754275918925762,48.20765943402555
asset_imob,26,-6.596056522258707,48.65848714602802
asset_imob,27,-6.433650685584672,49.02960898911909
asset_imob,28,-6.209899610513422,49.34867410993874
asset_imob,29,-5.920685121540735,49.65400539760617
asset_imob,30,-5.600149247287997,49.88428450738748
asset_imob,31,-5.236212690286527,50.06773968543736
asset_imob,32,-4.835308669016416,50.20866253229798
asset_imob,33,-4.410259203070471,50.26845912853314
asset_imob,34,-3.9521467693494334,50.26499619573289
asset_imob,35,-3.4695686556341427,50.18929594416869
asset_imob,36,-2.9813991910721995,50.01752461694735
asset_imob,37,-2.488025254333758,49.75127894449372
asset_imob,38,-1.995865696247907,49.381150379389
asset_imob,39,-1.5156038600824806,48.89739364723233
asset_imob,40,-1.0471395139003203,48.30117733303324
asset_imob,41,-0.5969769104547422,47.58960618404695
asset_imob,42,-0.17259838550806153,46.758111753409146
asset_imob,43,0.22539736533086946,45.81160277649406
asset_imob,44,0.5933583385169461,44.75357665203269
asset_imob,45,0.928212711072728,43.587311555539245
asset_imob,46,1.229616407547563,42.32207474344056
asset_imob,47,1.4954545492063023,40.96534325674742
asset_imob,48,1.7248030921506088,39.52517587693665
asset_mlcx,0,-10.347880486775649,-10.851863800749527
asset_mlcx,1,-12.076790973010471,-18.514463644223444
asset_mlcx,2,-10.259073096384421,-12.30958015482431
asset_mlcx,3,-9.71062020695575,-11.028495782733716
asset_mlcx,4,-8.70616827873908,-9.051835783426464
asset_mlcx,5,-8.83579671999729,-2.4784317115343097
asset_mlcx,6,-8.998818923981137,-0.8010125106286174
asset_mlcx,7,-8.699791673666406,2.152700051387321
asset_mlcx,8,-6.787692050849609,5.816600783241478
asset_mlcx,9,-5.85849038319132,9.410626003448682
asset_mlcx,10,-5.69779394594355,12.317230670092057
asset_mlcx,11,-4.898000388449261,15.102662206670454
asset_mlcx,12,-4.317535021500805,17.86379120905136
asset_mlcx,13,-3.607007822649206,19.621591588915383
asset_mlcx,14,-2.804458915136191,21.51596398499234
asset_mlcx,15,-2.379080895856723,22.828568774159834
asset_mlcx,16,-2.1752290375252734,23.381984380447687
asset_mlcx,17,-1.9245630576585773,23.983204316774078
asset_mlcx,18,-1.6171870975432867,24.18017780898222
asset_mlcx,19,-1.32328530901314,24.168392188921747
asset_mlcx,20,-1.007256111204064,24.00697992674048
asset_mlcx,21,-0.7635731462864651,23.580853665025963
asset_mlcx,22,-0.5409915830202349,22.99495782920375
asset_mlcx,23,-0.2385411888201803,22.315305617970203
asset_mlcx,24,0.06009143340053838,21.542171257962096
asset_mlcx,25,0.3742644733790043,20.70012078908233
asset_mlcx,26,0.7235316938091396,19.798015961711098
asset_mlcx,27,1.067427798687345,18.80088848109064
