ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_2y,24,0.0021853993381288138,-0.01266940640038201,0.011497630296319237,-0.04621809186971829,0.03056968968485173
GMR nao-gaussiano,yield_2y,25,0.001992843850603548,-0.012636032658692328,0.011652165147100853,-0.04849218691673867,0.03339934475622084
GMR nao-gaussiano,yield_2y,26,0.0018419254419036568,-0.012246905836647668,0.011330682950218662,-0.04496531346259677,0.037685209980011326
GMR nao-gaussiano,yield_2y,27,0.0016924770621763144,-0.011885839966821153,0.01152643027169386,-0.04087609936305552,0.03099113859970026
GMR nao-gaussiano,yield_2y,28,0.0014839842218024918,-0.012422801284812462,0.009497413427814207,-0.04534393177392871,0.02757786019948229
GMR nao-gaussiano,yield_2y,29,0.0012831171463224586,-0.01161834441933086,0.00985703063795432,-0.03567929641544996,0.030473785572942218
GMR nao-gaussiano,yield_2y,30,0.001070899640066856,-0.01047640670550041,0.009839226557192791,-0.033773945217153656,0.03169439446976496
GMR nao-gaussiano,yield_2y,31,8.428611349940754e-4,-0.010197820523774237,0.009394792512969945,-0.03342566981257059,0.03549815598997452
GMR nao-gaussiano,yield_2y,32,6.180671022711895e-4,-0.010441232953360153,0.01097849589244046,-0.03739871275574566,0.03778575282279007
GMR nao-gaussiano,yield_2y,33,3.9213939234861514e-4,-0.009813535200460218,0.010613661748172035,-0.03673633851321504,0.03990912488133447
GMR nao-gaussiano,yield_2y,34,1.5006319907155788e-4,-0.009696344740005747,0.010966164659511808,-0.03296853030824135,0.046753111146100694
GMR nao-gaussiano,yield_2y,35,-8.652024543136473e-5,-0.009086734086368476,0.010915089139737186,-0.03766986343606922,0.05799465531711306
GMR nao-gaussiano,yield_2y,36,-3.1446646256999246e-4,-0.008935759346253605,0.010985910169063843,-0.036402517994261266,0.056232235453339746
GMR nao-gaussiano,yield_2y,37,-5.403833674624576e-4,-0.008743177252655429,0.01121923373896249,-0.03526360570152363,0.0452746504043726
GMR nao-gaussiano,yield_2y,38,-7.445807267478483e-4,-0.008633275753063484,0.01164849464250229,-0.03551373554882535,0.04586092864765532
GMR nao-gaussiano,yield_2y,39,-9.330514528418818e-4,-0.008984244297130305,0.011054111310260243,-0.035038536908847326,0.04617706107212562
GMR nao-gaussiano,yield_2y,40,-0.0011075229386474969,-0.009183144005222316,0.011326888560423777,-0.0331539981969394,0.045872524130855526
GMR nao-gaussiano,yield_2y,41,-0.0012576661994751557,-0.008919735107969264,0.010537663894585865,-0.032262386417720085,0.04539122651291816
GMR nao-gaussiano,yield_2y,42,-0.001388027847738993,-0.008593460041851282,0.00973385084513992,-0.03518074526909981,0.045744208487500285
GMR nao-gaussiano,yield_2y,43,-0.0014986918674585311,-0.009008051298371714,0.00983259169865099,-0.03641606474785698,0.04752250895526914
GMR nao-gaussiano,yield_2y,44,-0.0015874655445965503,-0.008195091240110464,0.009544843068865976,-0.03565074702281816,0.048505089757424166
GMR nao-gaussiano,yield_2y,45,-0.0016573310219351047,-0.008118467804603884,0.009866226716995604,-0.034335913469773556,0.046070609177964184
GMR nao-gaussiano,yield_2y,46,-0.0017087736742481575,-0.007646307250530391,0.00985194411041024,-0.03267511336708161,0.049941637079053025
GMR nao-gaussiano,yield_2y,47,-0.00174071840529967,-0.007073426912673772,0.010455457974452392,-0.03201318368150144,0.04950979782719261
GMR nao-gaussiano,yield_2y,48,-0.0017550276033511886,-0.006923075188086462,0.009262419334319108,-0.028240360802997553,0.049575745663308066
GMR nao-gaussiano,yield_5y,0,0.012308891663348684,0.0018863717551803416,0.016454019942833166,-0.022664588533662773,0.027451970774050444
GMR nao-gaussiano,yield_5y,1,0.012989838785180763,-0.0011919082174591635,0.019540518092263124,-0.031360048206796234,0.03746683217639335
GMR nao-gaussiano,yield_5y,2,0.00972621843329315,1.6633572637439364e-4,0.014708743645184243,-0.01773562302280157,0.03475958613529715
GMR nao-gaussiano,yield_5y,3,0.009508258488987288,-0.0019412064098995115,0.0143877311093948,-0.01686852362040204,0.03572472167816091
GMR nao-gaussiano,yield_5y,4,0.006272278289853046,-0.003058170067044719,0.010466354546962946,-0.01995268372726522,0.02734348021280278
GMR nao-gaussiano,yield_5y,5,0.006238654313553091,-0.003298066348926608,0.010664395066464858,-0.020394971020548894,0.03599774154498889
GMR nao-gaussiano,yield_5y,6,0.007299099987034048,-0.003940750200197195,0.01187035124861125,-0.032460175705492526,0.024109463035806314
GMR nao-gaussiano,yield_5y,7,0.006231411677112341,-0.004443926036034428,0.01036659207338679,-0.03735122791812715,0.030461570654730763
GMR nao-gaussiano,yield_5y,8,0.004580381293201055,-0.00412242976101751,0.008593701193812012,-0.03097303373602219,0.02605701250210333
GMR nao-gaussiano,yield_5y,9,0.004611429001583181,-0.007649506480803035,0.00794040067387762,-0.041976584649197644,0.02028898644578945
GMR nao-gaussiano,yield_5y,10,0.004008158826811442,-0.010319955312257316,0.007323055116860001,-0.05228157306404907,0.01845611288600103
GMR nao-gaussiano,yield_5y,11,0.0035472869026682854,-0.010113894958249676,0.006762583491081085,-0.05378937838236352,0.0212958281578282
