sample,target_bd,agg,instrument,nw_lags,n_obs,n_nonzero,wald_mp,wald_mp_nw0,f_robust_mp,f_robust_mp_nw0,impact_mp,ar_bounded
pre_covid,21,gk,z_jk_raw_purif,1,78,92,8.29594095546087,7.2146179248392635,5.313565524676542,4.278195173313208,8.390136294899483e-5,TRUE
pre_covid,21,gk,z_jk_purif,1,78,87,7.481095769626329,6.9835980645792315,4.903138134347399,4.4491253197778144,8.862312042446851e-5,TRUE
pre_covid,21,gk,z_bruto,1,78,143,8.004685277955222,6.442186587715953,3.9822711618632054,3.5113665803075533,6.269736904285097e-5,TRUE
pre_covid,42,sum,z_jk_bs_purif,0,78,55,18.837511558857233,18.837511558857233,13.090020343271034,13.090020343271034,9.4809446448311e-5,TRUE
pre_covid,42,sum,z_jk_raw,0,78,53,16.37595077457565,16.37595077457565,12.31971638496634,12.31971638496634,8.648217566935904e-5,TRUE
pre_covid,42,sum,z_jk_raw_purif,0,78,53,16.775009820130883,16.775009820130883,12.523375378954665,12.523375378954665,8.869097873581754e-5,TRUE
pre_covid,42,sum,z_jk_purif,0,78,54,19.80364759009877,19.80364759009877,17.992465753485938,17.992465753485938,1.2335178677369362e-4,TRUE
pre_covid,42,sum,z_bruto,0,78,91,20.94496683755383,20.94496683755383,10.137146520285862,10.137146520285862,7.215596103546623e-5,TRUE
pre_covid,42,gk,z_jk_bs_purif,1,78,88,12.634245574482843,11.118052761374587,8.859010975468784,7.0719087992921805,8.790955808940146e-5,TRUE
pre_covid,42,gk,z_jk_raw,1,78,86,12.214821667692458,10.457841317330328,8.859817856111896,7.101266372357297,8.814763656530551e-5,TRUE
pre_covid,42,gk,z_jk_raw_purif,1,78,86,12.50885009754713,10.664275060474909,8.852275277180986,7.082402672920644,8.845194367719761e-5,TRUE
pre_covid,42,gk,z_jk_purif,1,78,90,12.230745194300708,11.653241179835943,7.435157176030126,7.4730044666757625,1.0277880093541142e-4,TRUE
pre_covid,42,gk,z_bruto,1,78,143,9.524967146163004,7.890156641450211,3.4172453117688635,3.3428302238101506,5.1966487750742176e-5,TRUE
pre_covid,63,sum,z_jk_bs_purif,0,78,55,15.572997439790948,15.572997439790948,13.34878293862754,13.34878293862754,7.417730085033216e-5,TRUE
pre_covid,63,sum,z_jk_raw,0,78,56,13.770173678044323,13.770173678044323,12.021875229345264,12.021875229345264,7.000554278529965e-5,TRUE
pre_covid,63,sum,z_jk_raw_purif,0,78,56,14.121540298890038,14.121540298890038,12.148536195245137,12.148536195245137,7.133163317279823e-5,TRUE
pre_covid,63,sum,z_jk_purif,0,78,62,16.01532447993478,16.01532447993478,16.19791065788201,16.19791065788201,9.642000239849606e-5,TRUE
pre_covid,63,sum,z_bruto,0,78,94,16.34830246526841,16.34830246526841,9.523444723983612,9.523444723983612,5.889781194750084e-5,TRUE
pre_covid,63,gk,z_jk_bs_purif,1,78,89,6.609175036969676,5.996742705661105,3.9819417157889982,3.430431435169668,6.15117043207415e-5,TRUE
pre_covid,63,gk,z_jk_raw,1,78,94,6.7549343852307056,6.049188950423755,4.337677577928513,3.718506455732858,6.299444421252908e-5,TRUE
pre_covid,63,gk,z_jk_raw_purif,1,78,94,6.844116016540396,6.114861250126536,4.380828692437717,3.763332327576999,6.301058073019013e-5,TRUE
pre_covid,63,gk,z_jk_purif,1,78,101,7.497276539359018,7.117315324210025,4.298730970023538,4.191430666087295,7.480458931998852e-5,TRUE
pre_covid,63,gk,z_bruto,1,78,146,7.106658845512368,6.096727410239431,2.6047650257464356,2.502017371420502,4.0746165026903065e-5,TRUE
pre_covid,84,sum,z_jk_bs_purif,0,78,58,14.180714153114707,14.180714153114707,10.598284381802172,10.598284381802172,7.268359801835612e-5,TRUE
pre_covid,84,sum,z_jk_raw,0,78,52,12.96106050733955,12.96106050733955,10.394750349306367,10.394750349306367,6.898575771417155e-5,TRUE
pre_covid,84,sum,z_jk_raw_purif,0,78,52,13.62970012417594,13.62970012417594,10.47616162392595,10.47616162392595,6.923334270093418e-5,TRUE
pre_covid,84,sum,z_jk_purif,0,78,59,15.25408638996028,15.25408638996028,14.307795771045493,14.307795771045493,8.617419732443712e-5,TRUE
pre_covid,84,sum,z_bruto,0,78,90,16.053301940219402,16.053301940219402,9.468205266910891,9.468205266910891,5.863592845801316e-5,TRUE
pre_covid,84,gk,z_jk_bs_purif,1,78,91,3.783768378109182,3.495553966323977,1.7925488607015885,1.607742494896046,4.9868442041194485e-5,FALSE
pre_covid,84,gk,z_jk_raw,1,78,82,5.000385037920937,4.565538973383014,2.583239859955004,2.290908965269005,5.566995680234879e-5,TRUE
pre_covid,84,gk,z_jk_raw_purif,1,78,82,5.048762278858368,4.597059535144338,2.571799540785136,2.29371670289577,5.486031580746278e-5,TRUE
pre_covid,84,gk,z_jk_purif,1,78,95,6.385999882670971,6.117259317548916,3.6257945226175043,3.4806287257446598,6.534612615156177e-5,TRUE
